experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device1,qwen2.5:3b,17,7.8174,27,3.45,4337.35,20.9627,7.0594,6.8191,7.0839,23.4522,0.8938,True,2795.6,2796.1
E3,device1,qwen2.5:3b,18,7.8436,27,3.44,4333.19,20.2484,6.4855,6.3981,7.3644,23.5308,0.8605,True,2798.7,2803.7
E3,device1,qwen2.5:3b,19,7.795,27,3.46,4300.82,20.0431,6.4804,6.4088,7.1535,23.385,0.8571,True,2804.8,2805.5
E3,device1,qwen2.5:3b,20,7.9838,27,3.38,4401.55,20.3943,6.7841,6.5896,7.0202,23.9514,0.8515,True,2802.2,2806.0
E3,device1,qwen2.5:3b,21,7.9333,27,3.4,4376.71,19.7995,6.4779,6.3428,6.9784,23.7999,0.8319,True,2806.5,2811.6
E3,device1,qwen2.5:3b,22,8.0225,27,3.37,4326.18,20.5395,6.543,6.4716,7.5245,24.0675,0.8534,True,2809.1,2807.4
E3,device1,qwen2.5:3b,23,8.0129,27,3.37,4524.52,20.2315,6.6421,6.3435,7.2456,24.0387,0.8416,True,2800.4,2798.4
E3,device1,qwen2.5:3b,24,8.2811,27,3.26,4576.32,19.7554,6.5017,6.2629,6.9905,24.8433,0.7952,True,2796.6,2804.7
E3,device1,qwen2.5:3b,25,8.0853,27,3.34,4419.79,20.306,6.6782,6.373,7.2545,24.2559,0.8372,True,2802.2,2800.0
E3,device1,qwen2.5:3b,26,8.1605,27,3.31,4570.62,20.3193,6.8561,6.4836,6.979,24.4815,0.83,True,2797.2,2800.9
E3,device1,qwen2.5:3b,27,7.9047,27,3.42,4400.21,21.0497,6.8922,6.5746,7.5825,23.7141,0.8876,True,2800.8,2803.0
E3,device1,qwen2.5:3b,28,7.9761,27,3.39,4399.45,20.47,6.562,6.7513,7.1563,23.9283,0.8555,True,2802.7,2802.2
E3,device1,qwen2.5:3b,29,7.8738,27,3.43,4295.34,20.0169,6.5688,6.5222,6.9255,23.6214,0.8474,True,2801.7,2801.0
E3,device1,qwen2.5:3b,30,7.7607,27,3.48,4230.57,20.7904,6.8141,6.3391,7.6369,23.2821,0.893,True,2801.3,2805.6
E3,device1,mistral:7b,1,25.8456,24,0.93,19233.8,60.4696,19.097,22.3297,19.0425,77.5368,0.7799,True,5374.8,5141.2
E3,device1,mistral:7b,2,17.937,24,1.34,11667.0,60.2324,19.6337,21.4158,19.1824,53.811,1.1193,True,5144.9,5147.3
E3,device1,mistral:7b,3,18.6247,24,1.29,12108.66,62.7939,20.3379,23.1332,19.3225,55.8741,1.1238,True,5147.7,5150.2
E3,device1,mistral:7b,4,19.4082,24,1.24,13052.3,59.0103,19.1563,21.0115,18.842,58.2246,1.0135,True,5151.2,5151.9
E3,device1,mistral:7b,5,18.6304,24,1.29,11757.81,72.765,21.1385,26.4234,25.2024,55.8912,1.3019,True,5151.9,5156.8
E3,device1,mistral:7b,6,19.8113,24,1.21,12820.18,62.2486,20.0303,22.0243,20.1936,59.4339,1.0474,True,5153.8,5156.3
E3,device1,mistral:7b,7,19.1003,24,1.26,12433.78,62.026,20.2665,21.7767,19.9825,57.3009,1.0825,True,5156.0,5156.2
E3,device1,mistral:7b,8,19.4341,24,1.23,12737.78,62.4877,20.1679,21.8954,20.424,58.3023,1.0718,True,5156.5,5159.9
E3,device1,mistral:7b,9,19.9888,24,1.2,13303.28,61.9879,19.8906,22.2906,19.8058,59.9664,1.0337,True,5158.7,5158.4
E3,device1,mistral:7b,10,20.0608,24,1.2,13198.56,62.506,20.2877,22.9557,19.2621,60.1824,1.0386,True,5158.8,5158.8
E3,device1,mistral:7b,11,19.8946,24,1.21,12923.97,64.6731,23.7679,21.5975,19.3048,59.6838,1.0836,True,5156.0,5157.9
E3,device1,mistral:7b,12,20.209,24,1.19,12993.33,121.8092,20.1775,60.8101,40.8196,60.627,2.0092,True,5158.9,5159.8
E3,device1,mistral:7b,13,27.4179,24,0.88,18875.47,87.5277,23.3796,24.9905,39.1569,82.2537,1.0641,True,5159.8,5160.7
E3,device1,mistral:7b,14,35.6496,24,0.67,20799.73,131.0526,44.9402,48.4077,37.6971,106.9488,1.2254,True,5159.5,5161.1
E3,device1,mistral:7b,15,23.3,24,1.03,15902.31,76.3519,23.9809,27.6433,24.7272,69.9,1.0923,True,5161.4,5162.8
E3,device1,mistral:7b,16,22.6909,24,1.06,15167.22,78.4714,23.3398,30.8354,24.2956,68.0727,1.1528,True,5160.8,5162.4
E3,device1,mistral:7b,17,21.3233,24,1.13,13984.28,69.0515,22.4997,23.3689,23.1823,63.9699,1.0794,True,5160.9,5161.4
E3,device1,mistral:7b,18,22.5118,24,1.07,14881.91,77.7321,22.5169,31.4177,23.7969,67.5354,1.151,True,5159.7,5163.1
E3,device1,mistral:7b,19,25.3484,24,0.95,13941.3,89.6953,27.807,34.0763,27.8114,76.0452,1.1795,True,5161.8,5162.4
E3,device1,mistral:7b,20,21.3921,24,1.12,13387.94,87.4272,30.9471,31.3665,25.1124,64.1763,1.3623,True,5162.0,5161.8
E3,device1,mistral:7b,21,25.3992,24,0.94,17321.66,84.5892,26.2371,28.5702,29.7793,76.1976,1.1101,True,5162.7,5163.9
E3,device1,mistral:7b,22,25.432,24,0.94,15463.17,82.9253,27.8979,25.7364,29.2875,76.296,1.0869,True,5162.8,5163.4
E3,device1,mistral:7b,23,22.5016,24,1.07,14874.53,74.2998,23.9866,27.2064,23.1061,67.5048,1.1007,True,5163.7,5163.5
E3,device1,mistral:7b,24,22.9517,24,1.05,15381.1,65.3224,21.6198,23.4163,20.2848,68.8551,0.9487,True,5162.7,5162.7
E3,device1,mistral:7b,25,18.6635,24,1.29,11940.6,64.2283,20.9686,23.2856,19.9727,55.9905,1.1471,True,5161.7,5164.6
E3,device1,mistral:7b,26,19.1083,24,1.26,12329.24,65.5286,21.3001,23.2872,20.9407,57.3249,1.1431,True,5161.8,5161.0
E3,device1,mistral:7b,27,19.3651,24,1.24,11997.35,63.0835,20.7302,22.8264,19.5265,58.0953,1.0859,True,5161.5,5162.2
E3,device1,mistral:7b,28,19.3378,24,1.24,12616.1,69.9375,21.2052,25.8064,22.9228,58.0134,1.2055,True,5162.4,5164.3
E3,device1,mistral:7b,29,19.5593,24,1.23,12691.5,66.1226,21.2181,23.6899,21.2116,58.6779,1.1269,True,5164.2,5164.6
E3,device1,mistral:7b,30,19.1088,24,1.26,12399.65,66.154,22.1826,24.1273,19.8433,57.3264,1.154,True,5163.2,5165.4
