experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device1,qwen2.5:3b,warm,11,0.0039,3.89,0,0.0,1477.4,0.8
E6,device1,qwen2.5:3b,warm,12,0.0034,3.43,0,0.0,1477.6,0.8
E6,device1,qwen2.5:3b,warm,13,0.0027,2.65,0,0.0,1477.6,0.0
E6,device1,qwen2.5:3b,warm,14,0.0028,2.84,0,0.0,1477.6,1.6
E6,device1,qwen2.5:3b,warm,15,0.0024,2.41,0,0.0,1477.6,0.0
E6,device1,qwen2.5:3b,warm,16,0.0023,2.35,0,0.0,1477.6,0.0
E6,device1,qwen2.5:3b,warm,17,0.0035,3.48,0,0.0,1477.6,2.5
E6,device1,qwen2.5:3b,warm,18,0.0034,3.36,0,0.0,1477.6,4.1
E6,device1,qwen2.5:3b,warm,19,0.0032,3.16,0,0.0,1479.1,0.0
E6,device1,qwen2.5:3b,warm,20,0.0023,2.29,0,0.0,1479.1,0.0
E6,device1,mistral:7b,cold,1,0.0031,3.01,0,0.0,1480.1,0.0
E6,device1,mistral:7b,cold,2,0.0087,8.45,0,0.0,1476.8,16.7
E6,device1,mistral:7b,cold,3,0.0018,1.75,0,0.0,1473.1,0.0
E6,device1,mistral:7b,cold,4,0.005,4.7,0,0.0,1472.7,0.8
E6,device1,mistral:7b,cold,5,0.002,1.87,0,0.0,1475.5,0.8
E6,device1,mistral:7b,warm,1,0.001,0.96,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,2,0.0014,1.4,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,3,0.0017,1.67,0,0.0,1475.5,0.8
E6,device1,mistral:7b,warm,4,0.0019,1.94,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,5,0.0019,1.94,0,0.0,1475.5,0.8
E6,device1,mistral:7b,warm,6,0.0013,1.34,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,7,0.0018,1.76,0,0.0,1475.5,0.8
E6,device1,mistral:7b,warm,8,0.0013,1.29,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,9,0.0018,1.82,0,0.0,1475.5,0.8
E6,device1,mistral:7b,warm,10,0.0057,5.67,0,0.0,1475.5,0.8
E6,device1,mistral:7b,warm,11,0.0022,2.17,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,12,0.0018,1.84,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,13,0.0013,1.33,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,14,0.0014,1.41,0,0.0,1475.5,0.0
E6,device1,mistral:7b,warm,15,0.0014,1.4,0,0.0,1475.3,0.0
E6,device1,mistral:7b,warm,16,0.0014,1.41,0,0.0,1475.3,0.0
E6,device1,mistral:7b,warm,17,0.0016,1.61,0,0.0,1475.3,0.0
E6,device1,mistral:7b,warm,18,0.0022,2.22,0,0.0,1475.6,0.0
E6,device1,mistral:7b,warm,19,0.0015,1.47,0,0.0,1475.6,0.0
E6,device1,mistral:7b,warm,20,0.0019,1.93,0,0.0,1475.6,0.8
