experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device1,phi3:mini,10,0.0018,0,0.0,1.84,0.0073,0.0034,0.0024,0.0012,0.0054,1.3491,False,1496.3,1496.3
E3,device1,phi3:mini,11,0.002,0,0.0,1.97,0.0041,0.0018,0.0011,0.001,0.006,0.681,False,1496.3,1496.3
E3,device1,phi3:mini,12,0.0021,0,0.0,2.09,0.0057,0.0022,0.0017,0.0016,0.0063,0.9094,False,1496.3,1496.3
E3,device1,phi3:mini,13,0.0021,0,0.0,2.11,0.006,0.0019,0.002,0.0018,0.0063,0.9565,False,1496.3,1496.3
E3,device1,phi3:mini,14,0.0018,0,0.0,1.76,0.0076,0.0024,0.0021,0.0026,0.0054,1.4016,False,1496.3,1496.3
E3,device1,phi3:mini,15,0.0027,0,0.0,2.71,0.0063,0.0025,0.0019,0.0015,0.0081,0.7732,False,1496.6,1496.6
E3,device1,phi3:mini,16,0.003,0,0.0,3.02,0.0089,0.0023,0.0033,0.0029,0.009,0.9917,False,1496.6,1496.6
E3,device1,phi3:mini,17,0.0021,0,0.0,2.08,0.0059,0.0017,0.0018,0.0019,0.0063,0.9418,False,1496.6,1496.6
E3,device1,phi3:mini,18,0.0018,0,0.0,1.78,0.0041,0.0015,0.001,0.0014,0.0054,0.7572,False,1496.6,1496.6
E3,device1,phi3:mini,19,0.0017,0,0.0,1.69,0.006,0.0018,0.0019,0.0019,0.0051,1.1726,False,1496.6,1496.6
E3,device1,phi3:mini,20,0.0017,0,0.0,1.74,0.0041,0.0016,0.001,0.0013,0.0051,0.7998,False,1496.6,1496.6
E3,device1,phi3:mini,21,0.0016,0,0.0,1.6,0.0054,0.0024,0.0015,0.0012,0.0048,1.125,False,1496.6,1496.6
E3,device1,phi3:mini,22,0.0019,0,0.0,1.89,0.0051,0.0019,0.0015,0.0013,0.0057,0.9035,False,1496.6,1496.8
E3,device1,phi3:mini,23,0.0014,0,0.0,1.4,0.0046,0.0019,0.0014,0.0012,0.0042,1.1021,False,1496.8,1499.4
E3,device1,phi3:mini,24,0.0017,0,0.0,1.66,0.0037,0.0016,0.0009,0.001,0.0051,0.7188,False,1495.7,1495.7
E3,device1,phi3:mini,25,0.0014,0,0.0,1.4,0.0036,0.0015,0.001,0.0009,0.0042,0.8483,False,1495.7,1495.7
E3,device1,phi3:mini,26,0.0016,0,0.0,1.6,0.0058,0.0015,0.0019,0.002,0.0048,1.2026,False,1495.7,1495.7
E3,device1,phi3:mini,27,0.0025,0,0.0,2.54,0.0059,0.0024,0.0017,0.0013,0.0075,0.7916,False,1495.7,1495.7
E3,device1,phi3:mini,28,0.0018,0,0.0,1.84,0.0039,0.0014,0.0011,0.0011,0.0054,0.7177,False,1495.7,1495.7
E3,device1,phi3:mini,29,0.0018,0,0.0,1.78,0.0041,0.0017,0.0011,0.001,0.0054,0.7502,False,1495.7,1495.7
E3,device1,phi3:mini,30,0.0015,0,0.0,1.5,0.0039,0.0017,0.001,0.001,0.0045,0.8775,False,1495.7,1496.0
E3,device1,qwen2.5:3b,1,0.0015,0,0.0,1.51,0.0092,0.0019,0.0027,0.0041,0.0045,2.0492,False,1497.1,1497.1
E3,device1,qwen2.5:3b,2,0.0015,0,0.0,1.54,0.0046,0.0014,0.0014,0.0015,0.0045,1.0257,False,1497.1,1497.1
E3,device1,qwen2.5:3b,3,0.0014,0,0.0,1.44,0.0056,0.0017,0.0022,0.0014,0.0042,1.3363,False,1495.0,1495.1
E3,device1,qwen2.5:3b,4,0.0017,0,0.0,1.69,0.007,0.0018,0.0021,0.0023,0.0051,1.3779,False,1495.1,1495.1
E3,device1,qwen2.5:3b,5,0.0019,0,0.0,1.91,0.0066,0.0023,0.002,0.0017,0.0057,1.1509,False,1495.1,1495.1
E3,device1,qwen2.5:3b,6,0.0022,0,0.0,2.19,0.0077,0.0026,0.0019,0.0028,0.0066,1.1736,False,1495.1,1495.1
E3,device1,qwen2.5:3b,7,0.0028,0,0.0,2.78,0.0128,0.0035,0.0048,0.0038,0.0084,1.5296,False,1495.4,1495.4
E3,device1,qwen2.5:3b,8,0.0019,0,0.0,1.91,0.0078,0.003,0.0026,0.0018,0.0057,1.3682,False,1495.4,1495.4
E3,device1,qwen2.5:3b,9,0.0043,0,0.0,4.27,0.0046,0.0015,0.0014,0.0015,0.0129,0.3603,False,1495.4,1495.4
E3,device1,qwen2.5:3b,10,0.0018,0,0.0,1.8,0.0037,0.0016,0.001,0.0009,0.0054,0.6872,False,1495.4,1495.4
E3,device1,qwen2.5:3b,11,0.0015,0,0.0,1.5,0.0039,0.0016,0.0012,0.0008,0.0045,0.856,False,1495.4,1495.4
E3,device1,qwen2.5:3b,12,0.0013,0,0.0,1.34,0.0042,0.0016,0.0012,0.0011,0.0039,1.0716,False,1495.4,1495.4
E3,device1,qwen2.5:3b,13,0.0015,0,0.0,1.52,0.0047,0.0015,0.0013,0.0016,0.0045,1.0336,False,1495.4,1495.4
E3,device1,qwen2.5:3b,14,0.002,0,0.0,1.98,0.0041,0.0017,0.0011,0.001,0.006,0.6768,False,1495.4,1495.4
E3,device1,qwen2.5:3b,15,0.0016,0,0.0,1.56,0.0043,0.002,0.0011,0.001,0.0048,0.8869,False,1495.4,1495.4
E3,device1,qwen2.5:3b,16,0.0025,0,0.0,2.52,0.0039,0.0016,0.0011,0.0009,0.0075,0.5134,False,1495.4,1495.6
E3,device1,qwen2.5:3b,17,0.0015,0,0.0,1.48,0.0046,0.0015,0.0014,0.0014,0.0045,1.0178,False,1495.6,1495.6
E3,device1,qwen2.5:3b,18,0.0016,0,0.0,1.65,0.0055,0.0023,0.0015,0.0013,0.0048,1.142,False,1495.6,1495.6
E3,device1,qwen2.5:3b,19,0.0032,0,0.0,3.15,0.0084,0.004,0.0023,0.0016,0.0096,0.8773,False,1495.6,1495.6
E3,device1,qwen2.5:3b,20,0.0019,0,0.0,1.94,0.0047,0.0019,0.0013,0.0011,0.0057,0.82,False,1495.6,1495.6
E3,device1,qwen2.5:3b,21,0.0031,0,0.0,3.07,0.0049,0.0023,0.0014,0.001,0.0093,0.5273,False,1495.6,1495.6
E3,device1,qwen2.5:3b,22,0.0025,0,0.0,2.52,0.0044,0.002,0.001,0.0011,0.0075,0.5881,False,1495.9,1495.9
E3,device1,qwen2.5:3b,23,0.0021,0,0.0,2.09,0.0045,0.0022,0.0011,0.0009,0.0063,0.7157,False,1495.9,1495.9
E3,device1,qwen2.5:3b,24,0.0016,0,0.0,1.63,0.0051,0.0026,0.0011,0.0012,0.0048,1.0613,False,1495.9,1495.9
