experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device3,tinyllama,cold,1,4.0933,1868.67,80,19.54,1222.4,35.9
E6,device3,tinyllama,cold,2,3.4101,1490.64,80,23.46,1222.6,37.0
E6,device3,tinyllama,cold,3,3.7646,1658.66,80,21.25,1211.1,37.2
E6,device3,tinyllama,cold,4,3.6903,1535.12,80,21.68,1212.9,37.6
E6,device3,tinyllama,cold,5,3.8629,1571.77,80,20.71,1228.7,38.9
E6,device3,tinyllama,warm,1,2.2283,292.27,80,35.9,1232.9,46.2
E6,device3,tinyllama,warm,2,2.2712,139.28,80,35.22,1234.7,47.1
E6,device3,tinyllama,warm,3,2.1968,141.62,80,36.42,1232.1,47.7
E6,device3,tinyllama,warm,4,2.2319,124.87,80,35.84,1227.0,46.2
E6,device3,tinyllama,warm,5,2.3823,148.44,80,33.58,1211.5,47.1
E6,device3,tinyllama,warm,6,2.4596,135.81,80,32.53,1215.1,47.1
E6,device3,tinyllama,warm,7,2.4024,175.48,80,33.3,1218.1,47.3
E6,device3,tinyllama,warm,8,2.4235,143.27,80,33.01,1222.0,46.1
E6,device3,tinyllama,warm,9,2.3384,158.7,80,34.21,1221.1,46.4
E6,device3,tinyllama,warm,10,2.4831,165.78,80,32.22,1219.1,47.1
E6,device3,tinyllama,warm,11,2.3618,145.63,80,33.87,1222.5,47.1
E6,device3,tinyllama,warm,12,2.3513,144.9,80,34.02,1221.9,46.6
E6,device3,tinyllama,warm,13,2.2273,132.68,80,35.92,1219.2,45.8
E6,device3,tinyllama,warm,14,2.3513,158.32,80,34.02,1219.8,46.2
E6,device3,tinyllama,warm,15,2.199,163.56,80,36.38,1218.1,47.2
E6,device3,tinyllama,warm,16,2.5669,144.53,80,31.17,1217.6,47.8
E6,device3,tinyllama,warm,17,2.2619,133.9,80,35.37,1217.4,46.8
E6,device3,tinyllama,warm,18,2.3053,135.06,80,34.7,1214.2,47.9
E6,device3,tinyllama,warm,19,2.3626,118.27,80,33.86,1213.2,47.3
E6,device3,tinyllama,warm,20,2.4756,143.63,80,32.32,1218.8,47.3
E6,device3,phi3:mini,cold,1,12.2284,5911.72,80,6.54,3443.6,33.7
E6,device3,phi3:mini,cold,2,11.3794,5201.82,80,7.03,3455.1,34.2
E6,device3,phi3:mini,cold,3,10.0416,3915.32,80,7.97,3454.0,37.2
E6,device3,phi3:mini,cold,4,9.8533,4014.86,80,8.12,3446.4,37.2
E6,device3,phi3:mini,cold,5,10.1404,4015.87,80,7.89,3446.5,37.2
E6,device3,phi3:mini,warm,1,9.3808,3295.3,80,8.53,4127.2,39.4
E6,device3,phi3:mini,warm,2,6.3298,216.64,80,12.64,3468.1,49.4
E6,device3,phi3:mini,warm,3,6.2782,149.24,80,12.74,3457.0,49.0
E6,device3,phi3:mini,warm,4,6.17,205.84,80,12.97,3451.7,48.9
E6,device3,phi3:mini,warm,5,6.1975,204.52,80,12.91,3447.4,49.2
E6,device3,phi3:mini,warm,6,6.2835,154.73,80,12.73,3447.7,48.9
E6,device3,phi3:mini,warm,7,6.4902,196.37,80,12.33,3447.4,49.2
E6,device3,phi3:mini,warm,8,6.4342,157.48,80,12.43,3447.4,49.6
E6,device3,phi3:mini,warm,9,6.2498,155.86,80,12.8,3447.4,49.0
E6,device3,phi3:mini,warm,10,6.2756,150.6,80,12.75,3448.2,48.9
E6,device3,phi3:mini,warm,11,6.4649,225.75,80,12.37,3447.0,49.1
E6,device3,phi3:mini,warm,12,6.4024,169.45,80,12.5,3447.4,49.3
E6,device3,phi3:mini,warm,13,6.4776,177.82,80,12.35,3447.8,49.0
E6,device3,phi3:mini,warm,14,6.3085,202.37,80,12.68,3447.8,49.3
E6,device3,phi3:mini,warm,15,6.3524,186.89,80,12.59,3449.7,48.9
E6,device3,phi3:mini,warm,16,6.4675,187.05,80,12.37,3449.4,48.9
E6,device3,phi3:mini,warm,17,6.442,202.73,80,12.42,3448.8,49.3
E6,device3,phi3:mini,warm,18,6.534,168.69,80,12.24,3449.2,49.6
E6,device3,phi3:mini,warm,19,6.2316,136.36,80,12.84,3447.9,49.7
E6,device3,phi3:mini,warm,20,6.5023,182.65,80,12.3,3448.2,49.2
E6,device3,qwen2.5:3b,cold,1,11.8586,5904.14,80,6.75,2512.4,33.2
E6,device3,qwen2.5:3b,cold,2,10.6054,4764.59,80,7.54,2543.5,35.6
E6,device3,qwen2.5:3b,cold,3,10.0488,4438.35,80,7.96,2526.2,35.7
E6,device3,qwen2.5:3b,cold,4,10.6409,4567.28,80,7.52,2535.4,36.5
E6,device3,qwen2.5:3b,cold,5,13.6952,6947.93,80,5.84,2505.7,32.4
E6,device3,qwen2.5:3b,warm,1,10.9506,4463.21,80,7.31,2586.0,38.0
E6,device3,qwen2.5:3b,warm,2,6.4102,334.86,80,12.48,2516.1,47.8
E6,device3,qwen2.5:3b,warm,3,6.1727,301.59,80,12.96,2507.8,47.5
E6,device3,qwen2.5:3b,warm,4,6.3823,344.32,80,12.53,2507.9,47.8
E6,device3,qwen2.5:3b,warm,5,6.8885,377.61,80,11.61,2509.1,47.7
E6,device3,qwen2.5:3b,warm,6,6.5982,399.53,80,12.12,2509.1,47.5
E6,device3,qwen2.5:3b,warm,7,6.567,364.68,80,12.18,2509.7,47.4
E6,device3,qwen2.5:3b,warm,8,6.2953,321.73,80,12.71,2511.1,47.5
E6,device3,qwen2.5:3b,warm,9,6.4251,302.71,80,12.45,2510.8,47.9
E6,device3,qwen2.5:3b,warm,10,6.4841,300.42,80,12.34,2512.2,47.3
E6,device3,qwen2.5:3b,warm,11,6.5011,377.42,80,12.31,2512.0,47.6
E6,device3,qwen2.5:3b,warm,12,6.5297,409.54,80,12.25,2510.4,47.8
E6,device3,qwen2.5:3b,warm,13,6.5256,403.59,80,12.26,2510.5,47.8
E6,device3,qwen2.5:3b,warm,14,6.2985,355.44,80,12.7,2507.9,47.4
E6,device3,qwen2.5:3b,warm,15,6.3194,332.83,80,12.66,2509.6,47.9
E6,device3,qwen2.5:3b,warm,16,6.3702,356.11,80,12.56,2505.9,47.5
E6,device3,qwen2.5:3b,warm,17,6.376,320.66,80,12.55,2509.1,47.3
E6,device3,qwen2.5:3b,warm,18,6.2391,340.69,80,12.82,2508.7,47.7
E6,device3,qwen2.5:3b,warm,19,6.3915,322.82,80,12.52,2510.6,47.9
E6,device3,qwen2.5:3b,warm,20,6.378,320.57,80,12.54,2511.4,47.4
E6,device3,mistral:7b,cold,1,25.5504,12880.63,80,3.13,4950.4,32.2
E6,device3,mistral:7b,cold,2,22.8272,10918.8,80,3.5,4968.6,33.3
E6,device3,mistral:7b,cold,3,22.8612,10960.67,80,3.5,4954.5,33.4
E6,device3,mistral:7b,cold,4,23.9238,10818.14,80,3.34,4863.3,35.4
E6,device3,mistral:7b,cold,5,21.1324,9227.3,80,3.79,4953.5,35.0
E6,device3,mistral:7b,warm,1,20.8824,8370.46,80,3.83,5202.5,36.9
E6,device3,mistral:7b,warm,2,12.1931,290.66,80,6.56,4897.6,49.6
E6,device3,mistral:7b,warm,3,12.592,218.0,80,6.35,4901.9,49.4
E6,device3,mistral:7b,warm,4,12.6435,252.09,80,6.33,4905.2,49.6
E6,device3,mistral:7b,warm,5,12.3362,272.73,80,6.48,4907.1,49.6
E6,device3,mistral:7b,warm,6,12.3383,329.54,80,6.48,4905.4,49.6
E6,device3,mistral:7b,warm,7,12.3583,264.13,80,6.47,4906.2,49.8
E6,device3,mistral:7b,warm,8,12.3347,223.22,80,6.49,4907.5,49.5
E6,device3,mistral:7b,warm,9,12.3127,226.01,80,6.5,4906.3,49.5
E6,device3,mistral:7b,warm,10,12.3751,292.32,80,6.46,4905.0,49.9
E6,device3,mistral:7b,warm,11,12.3343,229.39,80,6.49,4904.8,49.6
E6,device3,mistral:7b,warm,12,12.4776,282.31,80,6.41,4905.8,49.8
E6,device3,mistral:7b,warm,13,12.4456,263.19,80,6.43,4906.4,49.6
E6,device3,mistral:7b,warm,14,12.3707,247.69,80,6.47,4906.8,49.7
E6,device3,mistral:7b,warm,15,12.4516,258.26,80,6.42,4913.0,49.8
E6,device3,mistral:7b,warm,16,12.4159,242.63,80,6.44,4905.2,49.5
E6,device3,mistral:7b,warm,17,13.7361,305.08,80,5.82,4902.1,49.6
E6,device3,mistral:7b,warm,18,13.2121,249.44,80,6.06,4906.0,49.6
E6,device3,mistral:7b,warm,19,12.6307,312.96,80,6.33,4905.5,49.7
E6,device3,mistral:7b,warm,20,12.4633,281.75,80,6.42,4907.4,49.6
