experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device3,tinyllama,1,3.0299,2353.37,100,33.0,939.1,5.3,2.23
E2-throughput,device3,tinyllama,2,0.7175,50.47,100,139.37,832.6,7.8,2.23
E2-throughput,device3,tinyllama,3,0.7196,54.46,100,138.96,837.5,7.8,2.23
E2-throughput,device3,tinyllama,4,0.7195,56.35,100,138.98,837.5,8.1,2.23
E2-throughput,device3,tinyllama,5,0.706,44.77,100,141.65,839.0,8.2,2.23
E2-throughput,device3,tinyllama,6,0.7286,62.55,100,137.25,840.6,8.2,2.23
E2-throughput,device3,tinyllama,7,0.715,49.07,100,139.87,842.9,7.8,2.23
E2-throughput,device3,tinyllama,8,0.7227,55.23,100,138.36,843.6,8.1,2.23
E2-throughput,device3,tinyllama,9,0.7209,56.68,100,138.71,843.6,7.8,2.23
E2-throughput,device3,tinyllama,10,0.7169,50.74,100,139.49,843.3,8.2,2.23
E2-throughput,device3,tinyllama,11,0.7096,42.57,100,140.92,844.1,7.9,2.23
E2-throughput,device3,tinyllama,12,0.7205,50.92,100,138.8,845.4,7.8,2.23
E2-throughput,device3,tinyllama,13,0.7213,49.6,100,138.64,845.7,8.0,2.23
E2-throughput,device3,tinyllama,14,0.7206,53.74,100,138.77,845.7,8.1,2.23
E2-throughput,device3,tinyllama,15,0.7168,47.51,100,139.52,844.7,7.7,2.23
E2-throughput,device3,tinyllama,16,0.7122,47.73,100,140.41,845.2,7.8,2.23
E2-throughput,device3,tinyllama,17,0.7247,59.61,100,137.99,847.0,8.0,2.23
E2-throughput,device3,tinyllama,18,0.7163,49.53,100,139.61,849.2,7.9,2.23
E2-throughput,device3,tinyllama,19,0.7085,39.45,100,141.15,849.2,7.9,2.23
E2-throughput,device3,tinyllama,20,0.7132,51.1,100,140.21,849.7,7.9,2.23
E2-throughput,device3,phi3:mini,1,5.074,2953.27,100,19.71,1247.0,6.4,4.18
E2-throughput,device3,phi3:mini,2,2.1615,46.8,100,46.26,877.8,8.5,4.18
E2-throughput,device3,phi3:mini,3,2.1632,46.53,100,46.23,877.8,8.5,4.18
E2-throughput,device3,phi3:mini,4,2.1772,57.51,100,45.93,879.3,8.5,4.18
E2-throughput,device3,phi3:mini,5,2.1654,46.73,100,46.18,879.8,8.4,4.18
E2-throughput,device3,phi3:mini,6,2.162,41.32,100,46.25,879.8,8.5,4.18
E2-throughput,device3,phi3:mini,7,2.1662,48.29,100,46.16,880.3,8.6,4.18
E2-throughput,device3,phi3:mini,8,2.1676,48.64,100,46.13,880.2,8.3,4.18
E2-throughput,device3,phi3:mini,9,2.1774,52.7,100,45.93,880.2,8.5,4.18
E2-throughput,device3,phi3:mini,10,2.1668,44.54,100,46.15,880.2,8.6,4.18
E2-throughput,device3,phi3:mini,11,2.1755,54.57,100,45.97,880.5,8.5,4.18
E2-throughput,device3,phi3:mini,12,2.1693,48.65,100,46.1,880.7,8.5,4.18
E2-throughput,device3,phi3:mini,13,2.166,42.74,100,46.17,880.7,8.6,4.18
E2-throughput,device3,phi3:mini,14,2.177,53.9,100,45.93,880.7,8.5,4.18
E2-throughput,device3,phi3:mini,15,2.1695,46.52,100,46.09,881.5,8.4,4.18
E2-throughput,device3,phi3:mini,16,2.1714,52.1,100,46.05,883.2,8.5,4.18
E2-throughput,device3,phi3:mini,17,2.1614,48.61,100,46.27,883.2,8.4,4.18
E2-throughput,device3,phi3:mini,18,2.173,53.23,100,46.02,883.2,8.6,4.18
E2-throughput,device3,phi3:mini,19,2.1655,49.8,100,46.18,883.9,8.4,4.18
E2-throughput,device3,phi3:mini,20,2.1716,48.36,100,46.05,884.6,8.5,4.18
E2-throughput,device3,qwen2.5:3b,1,4.6748,2822.39,93,19.89,1105.8,7.2,3.94
E2-throughput,device3,qwen2.5:3b,2,2.0717,121.0,100,48.27,1022.0,8.5,3.94
E2-throughput,device3,qwen2.5:3b,3,2.0643,116.08,100,48.44,1027.0,8.5,3.94
E2-throughput,device3,qwen2.5:3b,4,2.0761,117.93,100,48.17,1030.7,8.6,3.94
E2-throughput,device3,qwen2.5:3b,5,2.0791,120.1,100,48.1,1032.8,8.5,3.94
E2-throughput,device3,qwen2.5:3b,6,2.0759,112.04,100,48.17,1037.3,8.4,3.94
E2-throughput,device3,qwen2.5:3b,7,2.0666,113.84,100,48.39,1037.2,8.5,3.94
E2-throughput,device3,qwen2.5:3b,8,2.0684,117.04,100,48.35,1033.5,8.6,3.94
E2-throughput,device3,qwen2.5:3b,9,2.0712,114.99,100,48.28,1033.2,8.5,3.94
E2-throughput,device3,qwen2.5:3b,10,2.0772,120.5,100,48.14,1032.7,8.6,3.94
E2-throughput,device3,qwen2.5:3b,11,2.0788,123.14,100,48.1,1033.6,8.6,3.94
E2-throughput,device3,qwen2.5:3b,12,2.0757,118.31,100,48.18,1038.7,8.6,3.94
E2-throughput,device3,qwen2.5:3b,13,2.0668,112.4,100,48.38,1038.7,8.6,3.94
E2-throughput,device3,qwen2.5:3b,14,2.0749,118.48,100,48.19,1040.8,8.5,3.94
