experiment,device,model,baseline_ram_mb,post_load_ram_mb,model_ram_delta_mb,peak_inference_ram_mb,avg_inference_ram_mb,peak_inference_cpu_pct,avg_inference_cpu_pct,baseline_swap_mb,peak_swap_mb,swap_active,load_time_s,avg_inference_s,post_unload_ram_mb,ram_leaked_mb,system_total_ram_mb,ram_utilization_pct
E5,device1,tinyllama,1474.2,1474.7,0.5,1474.7,1474.7,3.2,3.2,0.0,0.0,False,0.0,0.0025,1475.4,1.1,7763.0,19.0
E5,device1,tinyllama-q5,1478.9,1478.9,0.0,1478.9,1478.9,4.1,4.1,0.0,0.0,False,0.01,0.0038,1477.5,-1.4,7763.0,19.1
E5,device1,tinyllama-q8,1482.4,1481.9,-0.5,1481.9,1481.9,8.9,8.9,0.0,0.0,False,0.0,0.0025,1482.7,0.3,7763.0,19.1
E5,device1,phi3:mini,1481.3,1481.2,-0.0,1481.2,1481.2,1.7,1.7,0.0,0.0,False,0.01,0.0022,1479.5,-1.8,7763.0,19.1
E5,device1,phi3-q5,1483.6,1483.8,0.2,1483.8,1483.8,1.7,1.7,0.0,0.0,False,0.0,0.0017,1482.6,-1.0,7763.0,19.1
E5,device1,phi3-q8,1484.2,1483.4,-0.8,1483.4,1483.4,0.8,0.8,0.0,0.0,False,0.0,0.0013,1483.2,-1.0,7763.0,19.1
E5,device1,qwen2.5:3b,1482.7,1482.5,-0.2,1482.5,1482.5,0.0,0.0,0.0,0.0,False,0.0,0.0015,1481.6,-1.0,7763.0,19.1
E5,device1,qwen-q5,1484.7,1482.7,-2.1,1482.7,1482.7,0.8,0.8,0.0,0.0,False,0.0,0.0024,1480.9,-3.9,7763.0,19.1
E5,device1,qwen-q8,1479.6,1479.6,0.0,1479.6,1479.6,1.7,1.7,0.0,0.0,False,0.0,0.0024,1481.6,2.0,7763.0,19.1
E5,device1,mistral:7b,1481.6,1482.3,0.7,1482.3,1482.3,1.7,1.7,0.0,0.0,False,0.01,0.0027,1480.7,-0.9,7763.0,19.1
E5,device1,mistral-q5,1478.8,1477.1,-1.7,1477.1,1477.1,2.5,2.5,0.0,0.0,False,0.0,0.0023,1477.3,-1.5,7763.0,19.0
E5,device1,mistral-q8,1480.3,1480.5,0.2,1480.5,1480.5,6.8,6.8,0.0,0.0,False,0.0,0.0015,1479.6,-0.7,7763.0,19.1
