experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device2,tinyllama,1,4.219,1282.81,100,23.7,1326.6,47.9,2.05
E2-throughput,device2,tinyllama,2,2.9978,60.81,100,33.36,1331.3,52.6,2.05
E2-throughput,device2,tinyllama,3,2.8957,63.62,100,34.53,1332.3,51.6,2.05
E2-throughput,device2,tinyllama,4,2.9168,63.28,100,34.28,1335.5,50.6,2.05
E2-throughput,device2,tinyllama,5,2.964,69.96,100,33.74,1338.0,51.6,2.05
E2-throughput,device2,tinyllama,6,2.9845,77.77,100,33.51,1340.2,51.5,2.05
E2-throughput,device2,tinyllama,7,3.2654,65.81,100,30.62,1342.4,51.5,2.05
E2-throughput,device2,tinyllama,8,3.8414,75.38,100,26.03,1343.7,50.9,2.05
E2-throughput,device2,tinyllama,9,3.1486,72.52,100,31.76,1348.0,51.3,2.05
E2-throughput,device2,tinyllama,10,3.0804,64.3,100,32.46,1344.6,51.9,2.05
E2-throughput,device2,tinyllama,11,3.0127,64.12,100,33.19,1345.3,52.0,2.05
E2-throughput,device2,tinyllama,12,3.084,64.57,100,32.43,1345.0,51.7,2.05
E2-throughput,device2,tinyllama,13,3.0712,66.31,100,32.56,1344.5,51.3,2.05
E2-throughput,device2,tinyllama,14,3.0147,64.98,100,33.17,1347.0,52.4,2.05
E2-throughput,device2,tinyllama,15,3.0239,63.87,100,33.07,1347.0,50.1,2.05
E2-throughput,device2,tinyllama,16,3.0867,66.06,100,32.4,1344.4,51.9,2.05
E2-throughput,device2,tinyllama,17,2.9969,66.35,100,33.37,1343.3,51.4,2.05
E2-throughput,device2,tinyllama,18,2.9999,65.75,100,33.33,1343.3,52.1,2.05
E2-throughput,device2,tinyllama,19,3.0717,66.61,100,32.56,1342.1,51.5,2.05
E2-throughput,device2,tinyllama,20,3.072,68.33,100,32.55,1345.8,52.1,2.05
E2-throughput,device2,tinyllama-q5,1,4.7552,1672.16,100,21.03,1486.2,45.1,1.81
E2-throughput,device2,tinyllama-q5,2,3.2117,75.89,100,31.14,1486.5,51.9,1.81
E2-throughput,device2,tinyllama-q5,3,3.2869,64.04,100,30.42,1487.6,51.9,1.81
E2-throughput,device2,tinyllama-q5,4,3.7342,80.7,100,26.78,1488.0,51.0,1.81
