experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device3,tinyllama,1,2.528,50,19.78,2159.62,0.9765,0.2949,0.2693,0.4121,7.584,0.1288,True,925.1,828.4
E3,device3,tinyllama,2,0.4202,50,118.99,65.18,0.9547,0.2787,0.2671,0.4088,1.2606,0.7574,True,829.8,834.1
E3,device3,tinyllama,3,0.456,50,109.66,95.41,0.955,0.2802,0.2662,0.4085,1.368,0.6981,True,831.8,833.4
E3,device3,tinyllama,4,0.4285,50,116.69,70.72,0.9699,0.2885,0.2671,0.4141,1.2855,0.7545,True,830.9,835.2
E3,device3,tinyllama,5,0.4425,50,112.98,85.08,0.9783,0.2938,0.2705,0.4139,1.3275,0.737,True,836.6,838.8
E3,device3,tinyllama,6,0.4173,50,119.83,56.56,0.9713,0.2881,0.2667,0.4163,1.2519,0.7759,True,840.1,842.8
E3,device3,tinyllama,7,0.4319,50,115.76,69.06,0.9714,0.2846,0.2686,0.418,1.2957,0.7497,True,838.8,842.5
E3,device3,tinyllama,8,0.4544,50,110.05,93.39,0.9584,0.2777,0.266,0.4145,1.3632,0.703,True,840.6,840.6
E3,device3,tinyllama,9,0.453,50,110.39,92.76,0.9733,0.2858,0.2729,0.4144,1.359,0.7162,True,837.2,838.3
E3,device3,tinyllama,10,0.434,50,115.22,73.59,0.9783,0.2929,0.2706,0.4146,1.302,0.7514,True,836.3,840.3
E3,device3,tinyllama,11,0.4708,50,106.21,110.6,0.9638,0.2841,0.2653,0.4143,1.4124,0.6824,True,839.7,841.5
E3,device3,tinyllama,12,0.4359,50,114.71,74.44,0.97,0.2893,0.2697,0.4108,1.3077,0.7417,True,841.0,843.3
E3,device3,tinyllama,13,0.4238,50,117.97,66.67,0.9923,0.3111,0.2661,0.4148,1.2714,0.7804,True,840.8,842.2
E3,device3,tinyllama,14,0.4578,50,109.22,85.57,0.973,0.2838,0.2753,0.4137,1.3734,0.7084,True,842.9,844.7
E3,device3,tinyllama,15,0.4226,50,118.33,65.93,0.9515,0.2688,0.2683,0.4143,1.2678,0.7505,True,845.8,848.2
E3,device3,tinyllama,16,0.4266,50,117.21,66.73,0.9773,0.2856,0.2691,0.4224,1.2798,0.7636,True,850.3,854.9
E3,device3,tinyllama,17,0.4356,50,114.77,75.21,0.981,0.29,0.2709,0.4199,1.3068,0.7507,True,854.9,852.8
E3,device3,tinyllama,18,0.4304,50,116.16,70.21,0.9584,0.2712,0.2741,0.4129,1.2912,0.7423,True,853.1,854.0
E3,device3,tinyllama,19,0.4395,50,113.77,82.88,0.9653,0.273,0.2755,0.4167,1.3185,0.7321,True,852.3,854.5
E3,device3,tinyllama,20,0.4588,50,108.97,93.88,0.9528,0.2782,0.2657,0.4087,1.3764,0.6922,True,855.4,857.0
E3,device3,tinyllama,21,0.4429,50,112.89,80.57,0.9694,0.2863,0.2681,0.4149,1.3287,0.7296,True,853.6,856.0
E3,device3,tinyllama,22,0.4373,50,114.33,74.83,0.9759,0.2916,0.2666,0.4176,1.3119,0.7439,True,855.7,856.0
E3,device3,tinyllama,23,0.4418,50,113.17,82.43,0.9766,0.2867,0.2721,0.4175,1.3254,0.7368,True,855.0,854.5
E3,device3,tinyllama,24,0.4551,50,109.87,92.08,0.9673,0.2786,0.271,0.4176,1.3653,0.7085,True,852.9,856.9
E3,device3,tinyllama,25,0.4315,50,115.87,69.26,0.9783,0.2922,0.2718,0.4141,1.2945,0.7558,True,856.9,853.8
E3,device3,tinyllama,26,0.4168,50,119.96,58.57,0.9799,0.2845,0.2722,0.4231,1.2504,0.7837,True,851.5,856.7
E3,device3,tinyllama,27,0.44,50,113.63,76.87,0.9736,0.2925,0.2675,0.4135,1.32,0.7376,True,856.0,855.6
E3,device3,tinyllama,28,0.4384,50,114.06,74.14,0.9806,0.287,0.2726,0.4209,1.3152,0.7456,True,854.0,855.7
E3,device3,tinyllama,29,0.4189,50,119.36,62.24,0.9641,0.2798,0.2686,0.4155,1.2567,0.7672,True,855.7,860.6
E3,device3,tinyllama,30,0.4434,50,112.76,77.7,0.97,0.2831,0.266,0.4208,1.3302,0.7292,True,860.0,862.3
E3,device3,phi3:mini,1,3.6776,24,6.53,3164.44,2.1328,0.4996,0.5335,1.0996,11.0328,0.1933,True,1250.0,853.7
E3,device3,phi3:mini,2,0.5926,24,40.5,80.98,2.0988,0.4689,0.5304,1.0994,1.7778,1.1806,True,854.2,855.9
E3,device3,phi3:mini,3,0.5771,24,41.59,66.95,2.1147,0.4811,0.5313,1.1021,1.7313,1.2215,True,856.7,857.7
E3,device3,phi3:mini,4,0.5786,24,41.48,66.12,2.1072,0.4752,0.5303,1.1016,1.7358,1.214,True,858.6,859.4
E3,device3,phi3:mini,5,0.6075,24,39.51,97.54,2.1175,0.481,0.5332,1.1032,1.8225,1.1619,True,859.4,861.0
E3,device3,phi3:mini,6,0.6296,24,38.12,118.32,2.1234,0.4841,0.5348,1.1044,1.8888,1.1242,True,861.1,861.1
E3,device3,phi3:mini,7,0.5996,24,40.03,86.73,2.1091,0.4707,0.5333,1.105,1.7988,1.1725,True,861.1,861.8
E3,device3,phi3:mini,8,0.6092,24,39.39,98.54,2.1229,0.4814,0.5351,1.1063,1.8276,1.1616,True,862.8,863.7
E3,device3,phi3:mini,9,0.5996,24,40.03,89.58,2.1081,0.4682,0.5337,1.106,1.7988,1.1719,True,864.0,864.4
E3,device3,phi3:mini,10,0.6077,24,39.49,96.46,2.1291,0.492,0.5332,1.1037,1.8231,1.1679,True,864.2,865.4
E3,device3,phi3:mini,11,0.6093,24,39.39,97.5,2.1247,0.4874,0.5331,1.1042,1.8279,1.1624,True,865.9,867.1
E3,device3,phi3:mini,12,0.6031,24,39.8,91.38,2.1158,0.4743,0.5356,1.1057,1.8093,1.1694,True,867.1,868.6
E3,device3,phi3:mini,13,0.6171,24,38.89,104.95,2.1288,0.4895,0.536,1.1031,1.8513,1.1499,True,869.3,870.8
E3,device3,phi3:mini,14,0.5848,24,41.04,74.18,2.1325,0.4805,0.5398,1.112,1.7544,1.2155,True,872.0,872.3
