experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device1,tinyllama,1,9.8881,3693.01,100,10.11,1326.4,44.9,1.86
E2-throughput,device1,tinyllama,2,6.1885,173.51,100,16.16,1324.8,47.9,1.86
E2-throughput,device1,tinyllama,3,5.887,161.9,100,16.99,1328.0,48.4,1.86
E2-throughput,device1,tinyllama,4,5.4767,163.44,100,18.26,1329.7,48.2,1.86
E2-throughput,device1,tinyllama,5,5.5695,152.57,100,17.95,1329.3,48.4,1.86
E2-throughput,device1,tinyllama,6,5.4709,149.11,100,18.28,1329.0,48.0,1.86
E2-throughput,device1,tinyllama,7,5.5117,167.15,100,18.14,1329.2,48.7,1.86
E2-throughput,device1,tinyllama,8,5.4988,163.33,100,18.19,1332.2,48.5,1.86
E2-throughput,device1,tinyllama,9,5.4697,144.36,100,18.28,1334.9,48.0,1.86
E2-throughput,device1,tinyllama,10,5.3289,159.1,100,18.77,1334.0,48.9,1.86
E2-throughput,device1,tinyllama,11,5.3238,138.77,100,18.78,1330.1,48.5,1.86
E2-throughput,device1,tinyllama,12,5.3222,166.45,100,18.79,1333.7,48.6,1.86
E2-throughput,device1,tinyllama,13,5.4034,146.03,100,18.51,1333.7,48.6,1.86
E2-throughput,device1,tinyllama,14,5.7745,145.3,100,17.32,1333.5,48.3,1.86
E2-throughput,device1,tinyllama,15,5.5621,168.64,100,17.98,1331.5,48.8,1.86
E2-throughput,device1,tinyllama,16,5.4085,149.58,100,18.49,1332.6,48.3,1.86
E2-throughput,device1,tinyllama,17,5.3436,146.32,100,18.71,1335.3,48.7,1.86
E2-throughput,device1,tinyllama,18,5.4613,138.94,100,18.31,1334.3,49.2,1.86
E2-throughput,device1,tinyllama,19,5.48,146.48,100,18.25,1335.3,48.2,1.86
E2-throughput,device1,tinyllama,20,5.3427,163.43,100,18.72,1335.5,48.8,1.86
E2-throughput,device1,tinyllama-q5,1,0.0047,4.65,0,0.0,656.2,0.0,0.02
E2-throughput,device1,tinyllama-q5,2,0.0044,4.36,0,0.0,656.0,0.8,0.02
E2-throughput,device1,tinyllama-q5,3,0.0035,3.48,0,0.0,656.0,0.0,0.02
E2-throughput,device1,tinyllama-q5,4,0.0036,3.63,0,0.0,656.0,0.0,0.02
E2-throughput,device1,tinyllama-q5,5,0.0074,7.41,0,0.0,656.0,0.0,0.02
E2-throughput,device1,tinyllama-q5,6,0.0036,3.56,0,0.0,656.0,0.0,0.02
E2-throughput,device1,tinyllama-q5,7,0.003,2.99,0,0.0,656.0,0.8,0.02
E2-throughput,device1,tinyllama-q5,8,0.0034,3.37,0,0.0,656.0,0.0,0.02
E2-throughput,device1,tinyllama-q5,9,0.0033,3.27,0,0.0,656.0,0.8,0.02
E2-throughput,device1,tinyllama-q5,10,0.0031,3.07,0,0.0,656.0,0.8,0.02
E2-throughput,device1,tinyllama-q5,11,0.003,3.05,0,0.0,656.0,0.0,0.02
E2-throughput,device1,tinyllama-q5,12,0.0037,3.69,0,0.0,655.9,0.0,0.02
E2-throughput,device1,tinyllama-q5,13,0.0037,3.67,0,0.0,655.9,0.0,0.02
E2-throughput,device1,tinyllama-q5,14,0.0029,2.89,0,0.0,656.2,2.5,0.02
E2-throughput,device1,tinyllama-q5,15,0.0027,2.66,0,0.0,657.7,9.0,0.02
E2-throughput,device1,tinyllama-q5,16,0.0029,2.91,0,0.0,658.9,9.1,0.02
E2-throughput,device1,tinyllama-q5,17,0.0032,3.18,0,0.0,659.9,5.0,0.02
