experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E1,device1,tinyllama,1,8.0618,2053.52,100,12.4,1211.8,46.1,2.85
E1,device1,tinyllama,2,6.1979,171.34,100,16.13,1217.4,48.3,2.85
E1,device1,tinyllama,3,6.4196,167.5,100,15.58,1217.8,48.2,2.85
E1,device1,tinyllama,4,6.2693,163.55,100,15.95,1218.6,48.8,2.85
E1,device1,tinyllama,5,8.4501,163.13,100,11.83,1218.7,48.8,2.85
E1,device1,tinyllama,6,9.4614,186.11,100,10.57,1215.9,48.8,2.85
E1,device1,tinyllama,7,8.1988,214.53,100,12.2,1219.1,48.1,2.85
E1,device1,tinyllama,8,8.0844,211.11,100,12.37,1221.1,48.1,2.85
E1,device1,tinyllama,9,7.4843,192.32,100,13.36,1221.4,48.2,2.85
E1,device1,tinyllama,10,7.0819,166.1,100,14.12,1224.0,48.4,2.85
E1,device1,tinyllama,11,8.0883,190.49,100,12.36,1224.0,48.0,2.85
E1,device1,tinyllama,12,8.8403,216.33,100,11.31,1225.2,48.5,2.85
E1,device1,tinyllama,13,7.7094,222.45,100,12.97,1224.5,48.5,2.85
E1,device1,tinyllama,14,8.6822,219.82,100,11.52,1223.9,48.2,2.85
E1,device1,tinyllama,15,9.1416,220.05,100,10.94,1227.3,48.8,2.85
E1,device1,tinyllama,16,9.9481,213.78,100,10.05,1228.6,48.6,2.85
E1,device1,tinyllama,17,8.1613,191.25,100,12.25,1230.0,48.1,2.85
E1,device1,tinyllama,18,7.1002,166.89,100,14.08,1229.6,48.7,2.85
E1,device1,tinyllama,19,7.9733,182.91,100,12.54,1229.8,48.1,2.85
E1,device1,tinyllama,20,9.0548,175.78,100,11.04,1228.0,48.7,2.85
E1,device1,phi3:mini,1,30.2446,7389.63,100,3.31,4193.1,45.4,7.54
E1,device1,phi3:mini,2,24.168,260.2,100,4.14,3436.0,49.6,7.54
E1,device1,phi3:mini,3,22.7528,271.55,100,4.4,3438.7,49.9,7.54
E1,device1,phi3:mini,4,23.0604,277.39,100,4.34,3439.4,49.6,7.54
E1,device1,phi3:mini,5,23.5019,273.28,100,4.25,3441.1,49.5,7.54
E1,device1,phi3:mini,6,19.1727,285.38,100,5.22,3441.9,49.8,7.54
E1,device1,phi3:mini,7,18.3873,239.49,100,5.44,3443.5,49.9,7.54
E1,device1,phi3:mini,8,18.1682,220.24,100,5.5,3444.5,49.8,7.54
E1,device1,phi3:mini,9,18.9573,258.34,100,5.28,3443.5,49.7,7.54
E1,device1,phi3:mini,10,19.4079,265.53,100,5.15,3444.2,49.7,7.54
E1,device1,phi3:mini,11,20.5702,270.68,100,4.86,3443.7,49.6,7.54
E1,device1,phi3:mini,12,19.1368,270.82,100,5.23,3443.9,49.6,7.54
E1,device1,phi3:mini,13,20.6664,246.56,100,4.84,3445.1,49.7,7.54
E1,device1,phi3:mini,14,19.1722,358.65,100,5.22,3445.1,49.6,7.54
E1,device1,phi3:mini,15,17.8345,226.04,100,5.61,3445.2,49.9,7.54
E1,device1,phi3:mini,16,17.5027,231.29,100,5.71,3448.3,49.7,7.54
E1,device1,phi3:mini,17,47.8126,240.91,100,2.09,3448.5,46.5,7.54
E1,device1,phi3:mini,18,19.7843,277.0,100,5.05,3448.0,49.6,7.54
E1,device1,phi3:mini,19,19.9244,239.84,100,5.02,3446.1,49.6,7.54
E1,device1,phi3:mini,20,20.7727,239.89,100,4.81,3444.6,49.6,7.54
E1,device1,qwen2.5:3b,1,18.0387,6699.41,73,4.05,2681.2,40.8,9.17
E1,device1,qwen2.5:3b,2,11.0555,462.1,73,6.6,2648.9,47.8,9.17
E1,device1,qwen2.5:3b,3,11.4805,400.3,73,6.36,2648.4,48.2,9.17
E1,device1,qwen2.5:3b,4,10.4346,365.72,73,7.0,2649.9,48.2,9.17
