experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device1,tinyllama,cold,1,5.0076,3010.04,80,15.98,1169.8,29.3
E6,device1,tinyllama,cold,2,3.7059,1751.69,80,21.59,1172.7,38.0
E6,device1,tinyllama,cold,3,3.2948,1306.53,80,24.28,1180.5,41.1
E6,device1,tinyllama,cold,4,4.1054,2165.21,80,19.49,1184.1,38.3
E6,device1,tinyllama,cold,5,3.2517,1292.6,80,24.6,1181.6,40.2
E6,device1,tinyllama,warm,1,3.3722,1272.92,80,23.72,1192.9,40.8
E6,device1,tinyllama,warm,2,4.4759,169.06,80,17.87,1190.6,47.9
E6,device1,tinyllama,warm,3,4.7035,144.65,80,17.01,1191.3,48.2
E6,device1,tinyllama,warm,4,4.7021,189.23,80,17.01,1197.4,47.7
E6,device1,tinyllama,warm,5,4.4579,174.2,80,17.95,1194.6,48.6
E6,device1,tinyllama,warm,6,4.5822,139.53,80,17.46,1194.2,48.4
E6,device1,tinyllama,warm,7,4.3642,149.48,80,18.33,1191.3,47.9
E6,device1,tinyllama,warm,8,4.373,170.04,80,18.29,1191.9,48.2
E6,device1,tinyllama,warm,9,4.3405,169.74,80,18.43,1193.9,48.8
E6,device1,tinyllama,warm,10,4.3732,154.53,80,18.29,1196.9,47.9
E6,device1,tinyllama,warm,11,4.6149,172.48,80,17.34,1197.8,48.1
E6,device1,tinyllama,warm,12,4.4465,162.93,80,17.99,1196.7,48.6
E6,device1,tinyllama,warm,13,4.3894,143.6,80,18.23,1198.9,48.2
E6,device1,tinyllama,warm,14,4.4405,153.13,80,18.02,1198.7,48.7
E6,device1,tinyllama,warm,15,4.5737,153.85,80,17.49,1196.0,48.0
E6,device1,tinyllama,warm,16,4.4071,186.59,80,18.15,1199.2,48.2
E6,device1,tinyllama,warm,17,4.4205,191.4,80,18.1,1200.2,48.2
E6,device1,tinyllama,warm,18,4.4246,161.7,80,18.08,1202.1,48.5
E6,device1,tinyllama,warm,19,4.4425,160.08,80,18.01,1201.3,48.9
E6,device1,tinyllama,warm,20,4.4259,152.58,80,18.08,1200.8,48.5
