experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device3,tinyllama,1,2.9588,354.29,100,33.8,1222.5,47.2,1.76
E2-throughput,device3,tinyllama,2,2.7564,134.74,100,36.28,1222.4,47.3,1.76
E2-throughput,device3,tinyllama,3,3.0308,142.02,100,32.99,1214.5,47.0,1.76
E2-throughput,device3,tinyllama,4,2.9464,164.89,100,33.94,1210.5,46.6,1.76
E2-throughput,device3,tinyllama,5,3.0821,125.78,100,32.45,1206.5,47.4,1.76
E2-throughput,device3,tinyllama,6,2.7109,130.1,100,36.89,1202.5,48.0,1.76
E2-throughput,device3,tinyllama,7,2.8565,103.5,100,35.01,1196.9,47.4,1.76
E2-throughput,device3,tinyllama,8,3.0178,171.15,100,33.14,1196.4,48.0,1.76
E2-throughput,device3,tinyllama,9,2.7547,129.65,100,36.3,1199.5,47.3,1.76
E2-throughput,device3,tinyllama,10,2.9115,187.28,100,34.35,1191.3,48.1,1.76
E2-throughput,device3,tinyllama,11,2.9781,153.16,100,33.58,1191.8,47.2,1.76
E2-throughput,device3,tinyllama,12,2.91,136.41,100,34.36,1191.6,47.9,1.76
E2-throughput,device3,tinyllama,13,3.0528,144.46,100,32.76,1189.6,47.2,1.76
E2-throughput,device3,tinyllama,14,2.942,143.23,100,33.99,1192.7,46.8,1.76
E2-throughput,device3,tinyllama,15,2.7711,141.74,100,36.09,1193.2,47.6,1.76
E2-throughput,device3,tinyllama,16,3.0031,158.59,100,33.3,1196.8,48.2,1.76
E2-throughput,device3,tinyllama,17,2.8828,140.42,100,34.69,1197.7,47.6,1.76
E2-throughput,device3,tinyllama,18,2.844,146.45,100,35.16,1198.9,46.9,1.76
E2-throughput,device3,tinyllama,19,3.0384,144.72,100,32.91,1196.5,46.9,1.76
E2-throughput,device3,tinyllama,20,3.0532,141.75,100,32.75,1194.6,47.3,1.76
E2-throughput,device3,tinyllama-q5,1,3.2716,445.09,100,30.57,1328.8,48.0,1.98
E2-throughput,device3,tinyllama-q5,2,3.0193,154.53,100,33.12,1335.6,48.0,1.98
E2-throughput,device3,tinyllama-q5,3,3.0854,121.62,100,32.41,1329.9,48.0,1.98
E2-throughput,device3,tinyllama-q5,4,3.0827,124.21,100,32.44,1326.4,47.9,1.98
E2-throughput,device3,tinyllama-q5,5,3.0827,150.04,100,32.44,1328.8,47.2,1.98
E2-throughput,device3,tinyllama-q5,6,3.0731,137.31,100,32.54,1328.2,47.7,1.98
E2-throughput,device3,tinyllama-q5,7,3.0559,141.32,100,32.72,1325.5,47.3,1.98
E2-throughput,device3,tinyllama-q5,8,3.1606,129.59,100,31.64,1324.3,47.6,1.98
E2-throughput,device3,tinyllama-q5,9,3.6901,142.69,100,27.1,1329.8,48.1,1.98
E2-throughput,device3,tinyllama-q5,10,2.9789,138.05,100,33.57,1331.3,47.7,1.98
E2-throughput,device3,tinyllama-q5,11,3.0633,145.39,100,32.64,1329.5,47.6,1.98
E2-throughput,device3,tinyllama-q5,12,3.2855,130.55,100,30.44,1327.2,48.1,1.98
E2-throughput,device3,tinyllama-q5,13,3.2597,145.33,100,30.68,1326.0,47.3,1.98
E2-throughput,device3,tinyllama-q5,14,3.2485,174.73,100,30.78,1329.2,47.4,1.98
E2-throughput,device3,tinyllama-q5,15,3.2593,138.81,100,30.68,1329.8,47.3,1.98
E2-throughput,device3,tinyllama-q5,16,3.2678,137.2,100,30.6,1333.6,47.6,1.98
E2-throughput,device3,tinyllama-q5,17,3.2846,168.43,100,30.45,1330.7,48.1,1.98
E2-throughput,device3,tinyllama-q5,18,3.4055,153.08,100,29.36,1330.3,48.0,1.98
E2-throughput,device3,tinyllama-q5,19,3.3009,152.58,100,30.29,1329.2,48.2,1.98
E2-throughput,device3,tinyllama-q5,20,3.2467,131.42,100,30.8,1331.0,47.3,1.98
E2-throughput,device3,tinyllama-q8,1,4.5873,665.0,100,21.8,1711.5,48.5,2.83
E2-throughput,device3,tinyllama-q8,2,4.0862,151.92,100,24.47,1714.8,48.5,2.83
E2-throughput,device3,tinyllama-q8,3,3.9977,157.85,100,25.01,1708.6,48.4,2.83
