experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device1,tinyllama,cold,1,5.5648,3015.91,80,14.38,1313.6,31.1
E6,device1,tinyllama,cold,2,3.7723,1569.25,80,21.21,1313.8,39.2
E6,device1,tinyllama,cold,3,3.568,1455.55,80,22.42,1324.3,39.3
E6,device1,tinyllama,cold,4,3.6034,1361.35,80,22.2,1329.0,42.1
E6,device1,tinyllama,cold,5,3.4599,1380.76,80,23.12,1329.4,40.9
E6,device1,tinyllama,warm,1,8.5483,3289.5,80,9.36,1340.7,43.8
E6,device1,tinyllama,warm,2,5.2133,160.32,80,15.35,1345.4,48.2
E6,device1,tinyllama,warm,3,4.8354,164.02,80,16.54,1348.3,48.4
E6,device1,tinyllama,warm,4,4.6882,157.17,80,17.06,1349.0,48.0
E6,device1,tinyllama,warm,5,4.6183,161.84,80,17.32,1350.6,48.3
E6,device1,tinyllama,warm,6,4.4487,155.18,80,17.98,1350.7,48.9
E6,device1,tinyllama,warm,7,4.4785,164.63,80,17.86,1349.4,48.0
E6,device1,tinyllama,warm,8,4.5008,167.27,80,17.77,1350.3,48.4
E6,device1,tinyllama,warm,9,4.5288,137.71,80,17.66,1354.2,48.6
E6,device1,tinyllama,warm,10,4.6126,144.11,80,17.34,1353.6,48.6
E6,device1,tinyllama,warm,11,4.5363,165.64,80,17.64,1352.6,48.8
E6,device1,tinyllama,warm,12,4.8098,149.42,80,16.63,1353.6,48.5
E6,device1,tinyllama,warm,13,4.5187,159.93,80,17.7,1348.3,48.7
E6,device1,tinyllama,warm,14,4.5922,184.4,80,17.42,1353.2,48.0
E6,device1,tinyllama,warm,15,4.6,168.78,80,17.39,1352.0,47.9
E6,device1,tinyllama,warm,16,4.5365,189.85,80,17.63,1351.7,48.6
E6,device1,tinyllama,warm,17,4.4647,154.3,80,17.92,1354.2,48.0
E6,device1,tinyllama,warm,18,4.4126,147.92,80,18.13,1352.5,48.6
E6,device1,tinyllama,warm,19,4.5011,135.41,80,17.77,1353.1,48.5
E6,device1,tinyllama,warm,20,4.424,147.28,80,18.08,1357.7,48.7
E6,device1,phi3:mini,cold,1,21.5138,8040.28,80,3.72,3533.0,36.1
E6,device1,phi3:mini,cold,2,17.3965,3916.62,80,4.6,3529.7,43.5
E6,device1,phi3:mini,cold,3,19.1484,4094.18,80,4.18,3533.3,43.8
E6,device1,phi3:mini,cold,4,19.7879,3897.52,80,4.04,3535.1,44.1
E6,device1,phi3:mini,cold,5,17.656,3525.74,80,4.53,3541.6,43.9
E6,device1,phi3:mini,warm,1,21.9035,5945.72,80,3.65,4281.0,45.1
E6,device1,phi3:mini,warm,2,15.369,224.48,80,5.21,3519.8,49.6
E6,device1,phi3:mini,warm,3,16.6035,273.94,80,4.82,3521.7,49.8
E6,device1,phi3:mini,warm,4,16.0162,271.77,80,4.99,3522.0,49.6
E6,device1,phi3:mini,warm,5,15.1458,239.38,80,5.28,3522.5,49.6
E6,device1,phi3:mini,warm,6,14.1983,239.72,80,5.63,3525.2,49.9
E6,device1,phi3:mini,warm,7,14.484,214.93,80,5.52,3525.6,49.8
E6,device1,phi3:mini,warm,8,14.8802,217.27,80,5.38,3524.7,49.7
E6,device1,phi3:mini,warm,9,14.5559,222.07,80,5.5,3525.0,49.6
E6,device1,phi3:mini,warm,10,14.4077,235.49,80,5.55,3526.0,49.5
E6,device1,phi3:mini,warm,11,14.5827,228.04,80,5.49,3526.9,49.7
E6,device1,phi3:mini,warm,12,14.8779,235.32,80,5.38,3527.9,49.9
E6,device1,phi3:mini,warm,13,15.2713,333.62,80,5.24,3527.3,49.5
E6,device1,phi3:mini,warm,14,14.4042,219.77,80,5.55,3526.5,49.6
E6,device1,phi3:mini,warm,15,14.5384,248.58,80,5.5,3527.9,49.6
E6,device1,phi3:mini,warm,16,14.6153,231.13,80,5.47,3527.2,49.6
E6,device1,phi3:mini,warm,17,14.4456,263.33,80,5.54,3529.6,49.5
E6,device1,phi3:mini,warm,18,14.2845,246.13,80,5.6,3529.1,49.8
E6,device1,phi3:mini,warm,19,14.5824,221.01,80,5.49,3529.1,49.8
E6,device1,phi3:mini,warm,20,14.3398,224.76,80,5.58,3532.0,49.6
E6,device1,qwen2.5:3b,cold,1,17.8002,7368.06,80,4.49,2679.0,34.8
E6,device1,qwen2.5:3b,cold,2,16.6587,4646.97,80,4.8,2685.5,41.7
E6,device1,qwen2.5:3b,cold,3,18.2129,4937.62,80,4.39,2718.4,42.5
E6,device1,qwen2.5:3b,cold,4,17.7782,4335.35,80,4.5,2761.8,43.5
E6,device1,qwen2.5:3b,cold,5,15.9181,4218.56,80,5.03,2802.3,41.7
E6,device1,qwen2.5:3b,warm,1,16.6734,5039.03,80,4.8,2896.2,42.9
E6,device1,qwen2.5:3b,warm,2,11.0151,383.08,80,7.26,2880.8,48.2
E6,device1,qwen2.5:3b,warm,3,12.7345,354.23,80,6.28,2897.6,50.6
E6,device1,qwen2.5:3b,warm,4,11.6553,482.28,80,6.86,2899.9,48.6
E6,device1,qwen2.5:3b,warm,5,12.1101,377.28,80,6.61,2873.3,48.1
E6,device1,qwen2.5:3b,warm,6,12.6822,427.86,80,6.31,2877.7,48.4
E6,device1,qwen2.5:3b,warm,7,12.003,407.68,80,6.67,2883.1,48.0
E6,device1,qwen2.5:3b,warm,8,11.2652,385.98,80,7.1,2883.8,48.0
E6,device1,qwen2.5:3b,warm,9,11.43,380.62,80,7.0,2884.6,48.2
E6,device1,qwen2.5:3b,warm,10,11.3085,355.25,80,7.07,2887.8,48.2
E6,device1,qwen2.5:3b,warm,11,11.6677,384.36,80,6.86,2886.2,48.4
E6,device1,qwen2.5:3b,warm,12,11.4725,385.71,80,6.97,2888.6,48.0
E6,device1,qwen2.5:3b,warm,13,11.5141,369.88,80,6.95,2894.2,48.4
E6,device1,qwen2.5:3b,warm,14,11.2888,387.04,80,7.09,2895.6,48.0
E6,device1,qwen2.5:3b,warm,15,12.7684,372.46,80,6.27,2896.1,48.6
E6,device1,qwen2.5:3b,warm,16,11.3976,387.31,80,7.02,2896.1,48.0
E6,device1,qwen2.5:3b,warm,17,11.4498,334.47,80,6.99,2893.9,48.3
E6,device1,qwen2.5:3b,warm,18,11.1284,378.01,80,7.19,2892.0,48.2
E6,device1,qwen2.5:3b,warm,19,11.4303,346.44,80,7.0,2893.9,48.4
E6,device1,qwen2.5:3b,warm,20,11.3098,361.15,80,7.07,2894.4,48.2
E6,device1,mistral:7b,cold,1,38.0609,14733.42,80,2.1,5185.3,34.5
E6,device1,mistral:7b,cold,2,39.1729,15740.3,80,2.04,5134.1,34.5
E6,device1,mistral:7b,cold,3,35.2991,11681.79,80,2.27,5128.0,38.9
E6,device1,mistral:7b,cold,4,30.8707,7800.63,80,2.59,5122.6,43.1
E6,device1,mistral:7b,cold,5,39.3001,12707.47,80,2.04,5078.4,38.9
E6,device1,mistral:7b,warm,1,32.7966,9549.35,80,2.44,5367.4,40.8
E6,device1,mistral:7b,warm,2,25.54,339.45,80,3.13,5112.1,49.8
E6,device1,mistral:7b,warm,3,22.85,340.62,80,3.5,5113.5,49.8
E6,device1,mistral:7b,warm,4,22.496,367.0,80,3.56,5116.2,49.9
E6,device1,mistral:7b,warm,5,23.519,360.01,80,3.4,5117.4,49.8
E6,device1,mistral:7b,warm,6,23.0532,337.1,80,3.47,5119.3,49.9
E6,device1,mistral:7b,warm,7,23.0844,357.7,80,3.47,5120.8,50.0
E6,device1,mistral:7b,warm,8,24.2416,332.25,80,3.3,5115.0,50.0
E6,device1,mistral:7b,warm,9,23.5688,321.77,80,3.39,5116.8,49.9
E6,device1,mistral:7b,warm,10,23.284,332.48,80,3.44,5118.6,49.8
E6,device1,mistral:7b,warm,11,22.6328,347.35,80,3.53,5120.4,50.1
E6,device1,mistral:7b,warm,12,26.9365,325.16,80,2.97,5120.4,50.0
E6,device1,mistral:7b,warm,13,22.9983,328.81,80,3.48,5119.9,49.9
E6,device1,mistral:7b,warm,14,22.985,354.89,80,3.48,5120.0,49.9
E6,device1,mistral:7b,warm,15,23.3238,340.97,80,3.43,5121.9,49.9
E6,device1,mistral:7b,warm,16,22.9056,342.91,80,3.49,5121.4,49.9
E6,device1,mistral:7b,warm,17,22.355,325.74,80,3.58,5120.4,49.8
E6,device1,mistral:7b,warm,18,23.8931,331.03,80,3.35,5120.4,49.8
E6,device1,mistral:7b,warm,19,22.51,342.57,80,3.55,5120.1,49.9
E6,device1,mistral:7b,warm,20,23.0699,325.88,80,3.47,5122.6,49.8
