experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device1,tinyllama,1,9.6427,3904.4,100,10.37,1345.7,42.9,7.61
E2-throughput,device1,tinyllama,2,6.3523,168.18,100,15.74,1349.3,48.8,7.61
E2-throughput,device1,tinyllama,3,5.8241,147.64,100,17.17,1349.3,48.5,7.61
E2-throughput,device1,tinyllama,4,5.7984,162.82,100,17.25,1350.0,48.0,7.61
E2-throughput,device1,tinyllama,5,6.3606,171.9,100,15.72,1355.1,48.8,7.61
E2-throughput,device1,tinyllama,6,6.4993,164.54,100,15.39,1356.3,48.3,7.61
E2-throughput,device1,tinyllama,7,7.1597,174.06,100,13.97,1353.2,48.6,7.61
E2-throughput,device1,tinyllama,8,6.7896,143.35,100,14.73,1354.8,48.9,7.61
E2-throughput,device1,tinyllama,9,6.6933,203.91,100,14.94,1355.2,48.8,7.61
E2-throughput,device1,tinyllama,10,6.721,171.06,100,14.88,1354.7,48.5,7.61
E2-throughput,device1,tinyllama,11,6.2504,166.98,100,16.0,1355.0,48.5,7.61
E2-throughput,device1,tinyllama,12,5.8516,163.09,100,17.09,1356.3,48.7,7.61
E2-throughput,device1,tinyllama,13,5.9447,180.81,100,16.82,1356.1,48.8,7.61
E2-throughput,device1,tinyllama,14,5.8039,152.12,100,17.23,1356.3,48.3,7.61
E2-throughput,device1,tinyllama,15,5.7354,156.13,100,17.44,1357.5,48.5,7.61
E2-throughput,device1,tinyllama,16,5.8185,148.11,100,17.19,1359.7,48.7,7.61
E2-throughput,device1,tinyllama,17,5.8698,163.54,100,17.04,1361.0,49.2,7.61
E2-throughput,device1,tinyllama,18,5.8645,157.8,100,17.05,1361.0,48.7,7.61
E2-throughput,device1,tinyllama,19,5.8069,141.63,100,17.22,1359.7,48.7,7.61
E2-throughput,device1,tinyllama,20,6.36,161.59,100,15.72,1356.8,48.7,7.61
E2-throughput,device1,tinyllama-q5,1,3.974,1177.28,100,25.16,1499.6,42.5,1.83
E2-throughput,device1,tinyllama-q5,2,6.5068,90.7,100,15.37,1501.0,48.4,1.83
E2-throughput,device1,tinyllama-q5,3,6.0826,185.27,100,16.44,1504.0,48.2,1.83
E2-throughput,device1,tinyllama-q5,4,11.0208,192.86,100,9.07,1503.0,48.4,1.83
E2-throughput,device1,tinyllama-q5,5,9.1534,211.86,100,10.92,1506.1,48.6,1.83
E2-throughput,device1,tinyllama-q5,6,7.9044,180.48,100,12.65,1505.6,48.7,1.83
E2-throughput,device1,tinyllama-q5,7,7.4416,159.06,100,13.44,1506.1,48.5,1.83
E2-throughput,device1,tinyllama-q5,8,7.8581,150.0,100,12.73,1506.1,48.6,1.83
E2-throughput,device1,tinyllama-q5,9,7.7332,163.48,100,12.93,1506.6,48.3,1.83
E2-throughput,device1,tinyllama-q5,10,7.0415,167.83,100,14.2,1507.7,48.6,1.83
E2-throughput,device1,tinyllama-q5,11,6.9493,144.02,100,14.39,1510.9,48.6,1.83
E2-throughput,device1,tinyllama-q5,12,6.8086,144.92,100,14.69,1510.9,48.2,1.83
E2-throughput,device1,tinyllama-q5,13,6.6953,153.47,100,14.94,1513.9,48.5,1.83
E2-throughput,device1,tinyllama-q5,14,6.8279,146.57,100,14.65,1512.6,48.4,1.83
E2-throughput,device1,tinyllama-q5,15,6.8835,152.53,100,14.53,1514.1,49.0,1.83
E2-throughput,device1,tinyllama-q5,16,6.6949,156.51,100,14.94,1513.9,48.4,1.83
E2-throughput,device1,tinyllama-q5,17,6.8221,151.54,100,14.66,1514.4,48.6,1.83
E2-throughput,device1,tinyllama-q5,18,6.763,162.8,100,14.79,1515.8,49.0,1.83
E2-throughput,device1,tinyllama-q5,19,6.8727,157.84,100,14.55,1510.9,48.9,1.83
E2-throughput,device1,tinyllama-q5,20,6.8637,155.14,100,14.57,1512.4,48.9,1.83
E2-throughput,device1,tinyllama-q8,1,12.2199,4294.72,100,8.18,1881.3,40.2,5.49
E2-throughput,device1,tinyllama-q8,2,7.1349,152.74,100,14.02,1884.5,48.6,5.49
E2-throughput,device1,tinyllama-q8,3,9.5757,162.76,100,10.44,1888.1,48.8,5.49
E2-throughput,device1,tinyllama-q8,4,7.6703,193.43,100,13.04,1892.5,48.4,5.49
E2-throughput,device1,tinyllama-q8,5,9.7746,162.85,100,10.23,1893.7,49.0,5.49
E2-throughput,device1,tinyllama-q8,6,7.117,161.09,100,14.05,1894.9,48.3,5.49
E2-throughput,device1,tinyllama-q8,7,6.5614,140.83,100,15.24,1894.6,48.8,5.49
E2-throughput,device1,tinyllama-q8,8,6.8354,161.34,100,14.63,1890.2,48.5,5.49
E2-throughput,device1,tinyllama-q8,9,7.571,186.76,100,13.21,1891.0,48.5,5.49
E2-throughput,device1,tinyllama-q8,10,6.5086,151.37,100,15.36,1893.2,48.4,5.49
E2-throughput,device1,tinyllama-q8,11,6.5574,134.85,100,15.25,1895.4,49.0,5.49
E2-throughput,device1,tinyllama-q8,12,6.4766,142.73,100,15.44,1895.1,49.2,5.49
E2-throughput,device1,tinyllama-q8,13,6.7385,166.09,100,14.84,1893.9,48.6,5.49
E2-throughput,device1,tinyllama-q8,14,7.354,157.43,100,13.6,1897.4,48.5,5.49
E2-throughput,device1,tinyllama-q8,15,8.3008,168.46,100,12.05,1899.0,48.8,5.49
E2-throughput,device1,tinyllama-q8,16,6.9058,162.57,100,14.48,1900.4,49.0,5.49
E2-throughput,device1,tinyllama-q8,17,6.8097,161.79,100,14.68,1900.6,48.3,5.49
E2-throughput,device1,tinyllama-q8,18,6.7783,150.19,100,14.75,1899.4,49.1,5.49
E2-throughput,device1,tinyllama-q8,19,6.4417,156.0,100,15.52,1898.1,49.0,5.49
E2-throughput,device1,tinyllama-q8,20,6.5991,145.66,100,15.15,1898.1,48.4,5.49
E2-throughput,device1,phi3:mini,1,44.4041,18978.18,100,2.25,4329.9,35.1,32.6
E2-throughput,device1,phi3:mini,2,19.5887,329.2,100,5.1,3516.2,49.8,32.6
E2-throughput,device1,phi3:mini,3,18.9458,280.84,100,5.28,3520.5,49.9,32.6
E2-throughput,device1,phi3:mini,4,20.4787,321.48,100,4.88,3523.8,49.5,32.6
E2-throughput,device1,phi3:mini,5,19.0444,268.83,100,5.25,3523.8,49.8,32.6
E2-throughput,device1,phi3:mini,6,19.132,240.24,100,5.23,3525.1,49.6,32.6
E2-throughput,device1,phi3:mini,7,18.9584,224.53,100,5.27,3526.6,49.7,32.6
E2-throughput,device1,phi3:mini,8,18.6452,231.65,100,5.36,3528.9,49.4,32.6
E2-throughput,device1,phi3:mini,9,21.773,247.02,100,4.59,3529.4,49.7,32.6
E2-throughput,device1,phi3:mini,10,21.8382,245.63,100,4.58,3547.0,52.3,32.6
E2-throughput,device1,phi3:mini,11,17.8421,237.48,100,5.6,3528.2,49.5,32.6
E2-throughput,device1,phi3:mini,12,18.0557,234.12,100,5.54,3527.7,49.7,32.6
E2-throughput,device1,phi3:mini,13,18.2664,238.99,100,5.47,3529.4,49.7,32.6
E2-throughput,device1,phi3:mini,14,19.5627,260.24,100,5.11,3531.1,49.8,32.6
E2-throughput,device1,phi3:mini,15,19.3778,227.78,100,5.16,3532.1,49.6,32.6
E2-throughput,device1,phi3:mini,16,18.8719,235.1,100,5.3,3532.2,49.7,32.6
E2-throughput,device1,phi3:mini,17,22.154,244.35,100,4.51,3531.4,49.6,32.6
E2-throughput,device1,phi3:mini,18,19.537,277.65,100,5.12,3529.8,49.7,32.6
E2-throughput,device1,phi3:mini,19,19.1005,218.6,100,5.24,3531.4,49.7,32.6
E2-throughput,device1,phi3:mini,20,20.9436,237.78,100,4.77,3531.1,49.6,32.6
E2-throughput,device1,phi3-q5,1,44.2409,22372.59,100,2.26,4895.6,32.2,10.02
E2-throughput,device1,phi3-q5,2,22.7396,290.14,100,4.4,4139.7,49.8,10.02
E2-throughput,device1,phi3-q5,3,20.8485,265.37,100,4.8,4143.5,49.8,10.02
E2-throughput,device1,phi3-q5,4,20.6334,270.94,100,4.85,4145.7,49.8,10.02
E2-throughput,device1,phi3-q5,5,24.1623,293.75,100,4.14,4145.8,50.0,10.02
E2-throughput,device1,phi3-q5,6,23.6814,295.96,100,4.22,4147.4,49.7,10.02
E2-throughput,device1,phi3-q5,7,23.8969,246.26,100,4.18,4148.4,49.8,10.02
E2-throughput,device1,phi3-q5,8,20.3823,289.26,100,4.91,4149.7,49.6,10.02
E2-throughput,device1,phi3-q5,9,19.284,248.75,100,5.19,4151.8,49.8,10.02
E2-throughput,device1,phi3-q5,10,19.9989,254.37,100,5.0,4152.4,49.7,10.02
E2-throughput,device1,phi3-q5,11,20.0096,235.37,100,5.0,4150.4,49.6,10.02
E2-throughput,device1,phi3-q5,12,23.464,242.84,100,4.26,4152.3,49.7,10.02
E2-throughput,device1,phi3-q5,13,19.4426,259.89,100,5.14,4154.3,49.8,10.02
E2-throughput,device1,phi3-q5,14,19.7798,263.53,100,5.06,4152.0,49.6,10.02
E2-throughput,device1,phi3-q5,15,23.4708,274.52,100,4.26,4151.9,49.7,10.02
E2-throughput,device1,phi3-q5,16,21.795,253.68,100,4.59,4151.9,49.8,10.02
E2-throughput,device1,phi3-q5,17,24.2315,263.58,100,4.13,4151.6,49.7,10.02
E2-throughput,device1,phi3-q5,18,25.237,327.22,100,3.96,4151.4,49.7,10.02
E2-throughput,device1,phi3-q5,19,23.7157,363.1,100,4.22,4151.2,49.7,10.02
E2-throughput,device1,phi3-q5,20,20.5316,230.5,100,4.87,4151.1,49.8,10.02
E2-throughput,device1,phi3-q8,1,38.1105,14691.5,100,2.62,6099.1,37.9,13.99
E2-throughput,device1,phi3-q8,2,21.8211,281.56,100,4.58,5335.5,49.6,13.99
E2-throughput,device1,phi3-q8,3,22.3801,269.41,100,4.47,5343.9,49.6,13.99
E2-throughput,device1,phi3-q8,4,27.8141,323.99,100,3.6,5339.8,50.1,13.99
E2-throughput,device1,phi3-q8,5,23.8976,303.28,100,4.18,5341.9,49.7,13.99
E2-throughput,device1,phi3-q8,6,23.0227,263.19,100,4.34,5343.1,49.7,13.99
E2-throughput,device1,phi3-q8,7,22.2169,269.88,100,4.5,5342.2,49.8,13.99
E2-throughput,device1,phi3-q8,8,23.389,250.62,100,4.28,5342.3,49.7,13.99
E2-throughput,device1,phi3-q8,9,20.6687,259.98,100,4.84,5343.4,49.9,13.99
E2-throughput,device1,phi3-q8,10,22.8277,254.15,100,4.38,5343.2,49.8,13.99
E2-throughput,device1,phi3-q8,11,21.8088,287.33,100,4.59,5341.0,50.0,13.99
E2-throughput,device1,phi3-q8,12,21.0012,255.43,100,4.76,5342.3,50.0,13.99
E2-throughput,device1,phi3-q8,13,22.2963,260.45,100,4.49,5343.7,49.8,13.99
E2-throughput,device1,phi3-q8,14,22.1985,268.09,100,4.5,5345.0,49.7,13.99
E2-throughput,device1,phi3-q8,15,20.3854,285.56,100,4.91,5347.4,50.0,13.99
E2-throughput,device1,phi3-q8,16,21.9673,263.21,100,4.55,5348.2,49.7,13.99
E2-throughput,device1,phi3-q8,17,22.0759,285.18,100,4.53,5348.3,49.7,13.99
E2-throughput,device1,phi3-q8,18,21.6604,250.93,100,4.62,5348.5,50.0,13.99
E2-throughput,device1,phi3-q8,19,21.2781,259.44,100,4.7,5349.1,49.9,13.99
E2-throughput,device1,phi3-q8,20,21.4963,260.32,100,4.65,5348.7,49.7,13.99
E2-throughput,device1,qwen2.5:3b,1,25.7058,11120.24,73,2.84,2775.2,37.4,19.58
E2-throughput,device1,qwen2.5:3b,2,13.0405,591.8,73,5.6,2763.3,47.5,19.58
E2-throughput,device1,qwen2.5:3b,3,12.8583,332.25,73,5.68,2765.2,48.2,19.58
E2-throughput,device1,qwen2.5:3b,4,13.2052,366.97,73,5.53,2771.3,47.9,19.58
E2-throughput,device1,qwen2.5:3b,5,11.8754,390.0,73,6.15,2771.0,48.3,19.58
E2-throughput,device1,qwen2.5:3b,6,11.1471,379.44,73,6.55,2770.5,48.2,19.58
E2-throughput,device1,qwen2.5:3b,7,11.4277,376.66,73,6.39,2769.9,48.1,19.58
E2-throughput,device1,qwen2.5:3b,8,10.2933,368.43,73,7.09,2774.9,48.1,19.58
E2-throughput,device1,qwen2.5:3b,9,10.9042,383.18,73,6.69,2776.0,48.1,19.58
E2-throughput,device1,qwen2.5:3b,10,14.6136,405.2,73,5.0,2775.6,48.2,19.58
E2-throughput,device1,qwen2.5:3b,11,27.3133,1309.58,73,2.67,2777.3,46.7,19.58
E2-throughput,device1,qwen2.5:3b,12,15.5807,352.45,73,4.69,2778.0,47.9,19.58
E2-throughput,device1,qwen2.5:3b,13,23.9206,1038.34,73,3.05,2782.4,47.0,19.58
E2-throughput,device1,qwen2.5:3b,14,18.8879,431.27,73,3.86,2782.3,48.3,19.58
E2-throughput,device1,qwen2.5:3b,15,14.4362,379.48,73,5.06,2779.4,48.0,19.58
E2-throughput,device1,qwen2.5:3b,16,16.1271,405.95,73,4.53,2783.8,48.1,19.58
E2-throughput,device1,qwen2.5:3b,17,11.1496,378.3,73,6.55,2786.4,48.2,19.58
E2-throughput,device1,qwen2.5:3b,18,11.7946,358.23,73,6.19,2787.9,47.9,19.58
E2-throughput,device1,qwen2.5:3b,19,16.4954,442.28,73,4.43,2789.6,47.6,19.58
E2-throughput,device1,qwen2.5:3b,20,13.1865,593.26,73,5.54,2786.5,47.7,19.58
E2-throughput,device1,qwen-q5,1,41.2485,19739.82,99,2.4,3399.2,31.9,30.1
E2-throughput,device1,qwen-q5,2,24.1876,797.37,99,4.09,3317.2,48.0,30.1
E2-throughput,device1,qwen-q5,3,20.459,407.94,99,4.84,3321.8,48.9,30.1
E2-throughput,device1,qwen-q5,4,27.8458,485.77,99,3.56,3322.7,48.6,30.1
E2-throughput,device1,qwen-q5,5,21.4631,492.81,99,4.61,3324.6,48.4,30.1
E2-throughput,device1,qwen-q5,6,21.0046,414.7,99,4.71,3324.6,48.6,30.1
E2-throughput,device1,qwen-q5,7,22.176,408.06,99,4.46,3329.1,48.5,30.1
E2-throughput,device1,qwen-q5,8,21.5202,468.21,99,4.6,3330.4,48.6,30.1
E2-throughput,device1,qwen-q5,9,39.7445,418.0,99,2.49,3334.4,48.4,30.1
E2-throughput,device1,qwen-q5,10,17.5474,404.36,99,5.64,3337.6,48.7,30.1
E2-throughput,device1,qwen-q5,11,19.1404,361.8,99,5.17,3337.6,48.9,30.1
E2-throughput,device1,qwen-q5,12,19.7153,375.52,99,5.02,3335.7,48.7,30.1
E2-throughput,device1,qwen-q5,13,19.4729,458.28,99,5.08,3336.7,48.9,30.1
E2-throughput,device1,qwen-q5,14,16.2526,378.96,99,6.09,3336.4,48.5,30.1
E2-throughput,device1,qwen-q5,15,17.0473,403.17,99,5.81,3338.0,48.5,30.1
E2-throughput,device1,qwen-q5,16,16.0849,413.71,99,6.15,3339.5,48.7,30.1
E2-throughput,device1,qwen-q5,17,16.8842,390.03,99,5.86,3340.0,48.7,30.1
E2-throughput,device1,qwen-q5,18,16.3635,359.54,99,6.05,3341.6,48.7,30.1
E2-throughput,device1,qwen-q5,19,17.4944,360.97,99,5.66,3338.9,48.7,30.1
E2-throughput,device1,qwen-q5,20,16.694,331.45,99,5.93,3340.8,48.8,30.1
E2-throughput,device1,qwen-q8,1,27.7593,12192.27,85,3.06,4505.8,34.4,22.35
E2-throughput,device1,qwen-q8,2,16.6079,494.79,85,5.12,4401.9,48.5,22.35
E2-throughput,device1,qwen-q8,3,15.7523,378.15,85,5.4,4407.7,48.5,22.35
E2-throughput,device1,qwen-q8,4,15.4474,392.33,85,5.5,4411.9,48.6,22.35
E2-throughput,device1,qwen-q8,5,16.0633,384.73,85,5.29,4417.2,48.4,22.35
E2-throughput,device1,qwen-q8,6,15.5912,383.36,85,5.45,4422.7,48.9,22.35
E2-throughput,device1,qwen-q8,7,19.3824,404.74,85,4.39,4425.7,48.7,22.35
E2-throughput,device1,qwen-q8,8,16.0582,467.85,85,5.29,4421.2,48.4,22.35
E2-throughput,device1,qwen-q8,9,15.6014,378.64,85,5.45,4423.7,48.7,22.35
E2-throughput,device1,qwen-q8,10,15.2039,405.47,85,5.59,4425.6,48.5,22.35
E2-throughput,device1,qwen-q8,11,15.4598,389.31,85,5.5,4426.3,48.5,22.35
E2-throughput,device1,qwen-q8,12,15.447,383.31,85,5.5,4428.9,48.7,22.35
E2-throughput,device1,qwen-q8,13,15.4298,376.32,85,5.51,4428.7,48.4,22.35
E2-throughput,device1,qwen-q8,14,15.3561,377.02,85,5.54,4427.2,48.4,22.35
E2-throughput,device1,qwen-q8,15,15.566,399.06,85,5.46,4432.6,48.5,22.35
E2-throughput,device1,qwen-q8,16,15.4198,393.23,85,5.51,4433.0,48.8,22.35
E2-throughput,device1,qwen-q8,17,15.4042,406.82,85,5.52,4433.5,48.6,22.35
E2-throughput,device1,qwen-q8,18,16.9321,431.03,85,5.02,4434.7,48.6,22.35
E2-throughput,device1,qwen-q8,19,17.1038,425.65,85,4.97,4434.2,48.5,22.35
E2-throughput,device1,qwen-q8,20,15.5138,399.59,85,5.48,4438.6,48.6,22.35
E2-throughput,device1,mistral:7b,1,44.3407,12697.55,98,2.21,5528.0,42.0,13.38
E2-throughput,device1,mistral:7b,2,31.6767,363.17,98,3.09,5267.9,49.9,13.38
E2-throughput,device1,mistral:7b,3,34.1076,376.9,98,2.87,5271.4,50.0,13.38
E2-throughput,device1,mistral:7b,4,32.5667,334.33,98,3.01,5273.4,50.0,13.38
E2-throughput,device1,mistral:7b,5,32.7715,458.93,98,2.99,5300.4,51.1,13.38
E2-throughput,device1,mistral:7b,6,30.685,330.19,98,3.19,5278.0,49.9,13.38
E2-throughput,device1,mistral:7b,7,29.0411,336.6,98,3.37,5278.4,50.0,13.38
E2-throughput,device1,mistral:7b,8,28.9734,330.43,98,3.38,5278.7,50.1,13.38
E2-throughput,device1,mistral:7b,9,29.6242,324.55,98,3.31,5280.6,49.9,13.38
E2-throughput,device1,mistral:7b,10,28.5739,323.32,98,3.43,5279.5,49.9,13.38
E2-throughput,device1,mistral:7b,11,29.3316,333.5,98,3.34,5279.9,49.8,13.38
E2-throughput,device1,mistral:7b,12,29.6232,332.81,98,3.31,5281.7,49.8,13.38
E2-throughput,device1,mistral:7b,13,29.8362,347.12,98,3.28,5282.1,49.9,13.38
E2-throughput,device1,mistral:7b,14,30.9995,340.09,98,3.16,5283.9,49.9,13.38
E2-throughput,device1,mistral:7b,15,30.1211,307.72,98,3.25,5278.9,50.0,13.38
E2-throughput,device1,mistral:7b,16,30.1336,355.4,98,3.25,5282.3,49.8,13.38
E2-throughput,device1,mistral:7b,17,29.7997,336.97,98,3.29,5280.3,49.9,13.38
E2-throughput,device1,mistral:7b,18,29.5722,326.32,98,3.31,5280.2,49.9,13.38
E2-throughput,device1,mistral:7b,19,29.7917,338.93,98,3.29,5281.0,50.2,13.38
E2-throughput,device1,mistral:7b,20,29.9647,350.61,98,3.27,5280.4,50.1,13.38
E2-throughput,device1,mistral-q5,1,53.6671,15312.54,94,1.75,6238.3,42.7,14.61
E2-throughput,device1,mistral-q5,2,38.0019,418.41,94,2.47,5993.4,49.9,14.61
E2-throughput,device1,mistral-q5,3,38.5117,428.2,94,2.44,5998.2,49.9,14.61
E2-throughput,device1,mistral-q5,4,39.5182,426.03,94,2.38,6002.7,49.9,14.61
E2-throughput,device1,mistral-q5,5,37.9642,422.98,94,2.48,6003.9,49.9,14.61
E2-throughput,device1,mistral-q5,6,37.8739,419.56,94,2.48,6003.8,50.1,14.61
E2-throughput,device1,mistral-q5,7,39.2714,437.37,94,2.39,6005.6,49.9,14.61
E2-throughput,device1,mistral-q5,8,37.47,440.41,94,2.51,6006.5,49.9,14.61
E2-throughput,device1,mistral-q5,9,37.4721,378.63,94,2.51,6007.5,49.9,14.61
E2-throughput,device1,mistral-q5,10,37.6668,398.57,94,2.5,6007.6,50.0,14.61
E2-throughput,device1,mistral-q5,11,37.424,408.36,94,2.51,6009.0,50.3,14.61
E2-throughput,device1,mistral-q5,12,37.6235,420.12,94,2.5,6008.4,50.0,14.61
E2-throughput,device1,mistral-q5,13,37.625,472.03,94,2.5,6005.7,50.1,14.61
E2-throughput,device1,mistral-q5,14,38.8348,434.17,94,2.42,6003.6,50.1,14.61
E2-throughput,device1,mistral-q5,15,37.7523,425.9,94,2.49,6004.2,50.0,14.61
E2-throughput,device1,mistral-q5,16,38.1336,420.41,94,2.47,6006.9,50.0,14.61
E2-throughput,device1,mistral-q5,17,38.9971,504.37,94,2.41,6030.0,50.9,14.61
E2-throughput,device1,mistral-q5,18,38.4086,442.83,94,2.45,6004.4,50.0,14.61
E2-throughput,device1,mistral-q5,19,38.1012,431.41,94,2.47,6008.5,50.0,14.61
E2-throughput,device1,mistral-q5,20,38.235,422.49,94,2.46,6014.6,50.0,14.61
E2-throughput,device1,mistral-q8,1,161.8603,72059.0,100,0.62,7747.5,26.8,78.28
