experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device1,tinyllama,1,4.4902,1407.38,100,22.27,1232.7,43.3,1.83
E2-throughput,device1,tinyllama,2,8.0689,91.92,100,12.39,1239.4,47.9,1.83
E2-throughput,device1,tinyllama,3,9.6894,181.59,100,10.32,1238.1,48.0,1.83
E2-throughput,device1,tinyllama,4,6.2031,160.32,100,16.12,1239.1,48.2,1.83
E2-throughput,device1,tinyllama,5,6.0768,136.89,100,16.46,1238.5,49.1,1.83
E2-throughput,device1,tinyllama,6,6.9444,156.43,100,14.4,1239.6,48.6,1.83
E2-throughput,device1,tinyllama,7,7.6621,147.81,100,13.05,1239.6,48.7,1.83
E2-throughput,device1,tinyllama,8,7.4892,155.35,100,13.35,1240.0,48.5,1.83
E2-throughput,device1,tinyllama,9,8.3286,227.28,100,12.01,1240.3,48.2,1.83
E2-throughput,device1,tinyllama,10,7.9617,196.61,100,12.56,1242.6,48.1,1.83
E2-throughput,device1,tinyllama,11,6.928,360.2,100,14.43,1243.4,47.8,1.83
E2-throughput,device1,tinyllama,12,6.9459,150.12,100,14.4,1242.3,48.4,1.83
E2-throughput,device1,tinyllama,13,7.0829,198.06,100,14.12,1244.5,48.6,1.83
E2-throughput,device1,tinyllama,14,6.4598,149.62,100,15.48,1241.7,48.6,1.83
E2-throughput,device1,tinyllama,15,5.8036,141.1,100,17.23,1244.9,48.3,1.83
E2-throughput,device1,tinyllama,16,6.1297,157.89,100,16.31,1244.9,48.7,1.83
E2-throughput,device1,tinyllama,17,6.1172,141.28,100,16.35,1243.3,48.4,1.83
E2-throughput,device1,tinyllama,18,9.2475,162.05,100,10.81,1244.7,47.9,1.83
E2-throughput,device1,tinyllama,19,6.4917,285.97,100,15.4,1247.7,47.9,1.83
E2-throughput,device1,tinyllama,20,5.91,154.21,100,16.92,1252.1,48.4,1.83
E2-throughput,device1,tinyllama-q5,1,10.1365,2653.24,100,9.87,1393.3,43.1,2.74
E2-throughput,device1,tinyllama-q5,2,7.4265,163.85,100,13.47,1397.7,48.4,2.74
E2-throughput,device1,tinyllama-q5,3,8.1701,207.98,100,12.24,1397.5,48.8,2.74
E2-throughput,device1,tinyllama-q5,4,7.1697,168.01,100,13.95,1397.4,48.9,2.74
E2-throughput,device1,tinyllama-q5,5,7.1161,174.74,100,14.05,1401.0,48.7,2.74
E2-throughput,device1,tinyllama-q5,6,7.1405,153.61,100,14.0,1405.0,48.6,2.74
E2-throughput,device1,tinyllama-q5,7,6.6573,164.25,100,15.02,1404.7,49.1,2.74
E2-throughput,device1,tinyllama-q5,8,7.1909,156.42,100,13.91,1405.5,48.9,2.74
E2-throughput,device1,tinyllama-q5,9,7.1693,159.61,100,13.95,1405.5,48.8,2.74
E2-throughput,device1,tinyllama-q5,10,7.7047,153.92,100,12.98,1403.1,48.8,2.74
E2-throughput,device1,tinyllama-q5,11,8.8933,188.44,100,11.24,1403.6,48.2,2.74
E2-throughput,device1,tinyllama-q5,12,7.9085,186.16,100,12.64,1407.2,48.7,2.74
E2-throughput,device1,tinyllama-q5,13,7.2661,167.67,100,13.76,1407.2,48.8,2.74
E2-throughput,device1,tinyllama-q5,14,9.0787,247.36,100,11.01,1405.7,48.5,2.74
