experiment,device,model,baseline_ram_mb,peak_inference_ram_mb,max_tokens_reached,pressure_status,cache_flushed,peak_swap_mb,swap_active,ram_utilization_pct
E5,device1,tinyllama,551.3,1302.9,2124,CRITICAL,True,447.6,False,16.7
E5,device1,phi3:mini,571.6,4205.8,2124,CRITICAL,True,446.1,False,54.0
E5,device1,qwen2.5:3b,578.5,2697.3,2124,CRITICAL,True,413.2,False,34.6
E5,device1,mistral:7b,644.1,5307.7,2124,CRITICAL,True,457.8,True,68.2
