experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device3,tinyllama,1,3.1568,2469.59,100,31.68,1081.0,5.1,2.49
E2-throughput,device3,tinyllama,2,0.7395,54.88,100,135.23,959.6,8.2,2.49
E2-throughput,device3,tinyllama,3,0.7288,59.55,100,137.21,959.4,7.9,2.49
E2-throughput,device3,tinyllama,4,0.7272,53.05,100,137.52,965.1,8.0,2.49
E2-throughput,device3,tinyllama,5,0.7225,56.29,100,138.41,965.5,8.0,2.49
E2-throughput,device3,tinyllama,6,0.7243,55.96,100,138.07,966.0,8.5,2.49
E2-throughput,device3,tinyllama,7,0.7181,53.05,100,139.26,968.5,8.1,2.49
E2-throughput,device3,tinyllama,8,0.7171,57.18,100,139.45,968.5,7.8,2.49
E2-throughput,device3,tinyllama,9,0.7236,57.57,100,138.19,968.3,8.0,2.49
E2-throughput,device3,tinyllama,10,0.7216,58.6,100,138.59,970.5,8.2,2.49
E2-throughput,device3,tinyllama,11,0.7207,56.3,100,138.75,974.2,7.7,2.49
E2-throughput,device3,tinyllama,12,0.7203,51.74,100,138.84,974.2,8.0,2.49
E2-throughput,device3,tinyllama,13,0.7238,60.18,100,138.16,974.6,8.1,2.49
E2-throughput,device3,tinyllama,14,0.7186,54.21,100,139.15,974.6,7.6,2.49
E2-throughput,device3,tinyllama,15,0.7188,55.28,100,139.11,978.1,8.0,2.49
E2-throughput,device3,tinyllama,16,0.7133,50.77,100,140.19,978.8,8.0,2.49
E2-throughput,device3,tinyllama,17,0.7283,53.22,100,137.31,978.8,8.1,2.49
E2-throughput,device3,tinyllama,18,0.7205,53.3,100,138.79,975.1,8.2,2.49
E2-throughput,device3,tinyllama,19,0.7113,49.83,100,140.58,975.1,8.1,2.49
E2-throughput,device3,tinyllama,20,0.7252,56.0,100,137.89,971.2,7.9,2.49
E2-throughput,device3,phi3:mini,1,13.2313,13231.29,0,0.0,966.6,1.0,14.81
E2-throughput,device3,phi3:mini,2,10.4086,10408.55,0,0.0,875.6,1.2,14.81
E2-throughput,device3,phi3:mini,3,10.1089,10108.86,0,0.0,873.3,1.0,14.81
E2-throughput,device3,phi3:mini,4,16.3336,16333.64,0,0.0,873.5,0.7,14.81
E2-throughput,device3,phi3:mini,5,12.0242,12024.19,0,0.0,878.7,0.9,14.81
E2-throughput,device3,phi3:mini,6,10.6372,10637.21,0,0.0,877.4,1.0,14.81
E2-throughput,device3,phi3:mini,7,9.9427,9942.68,0,0.0,869.9,1.1,14.81
E2-throughput,device3,phi3:mini,8,16.1881,16188.13,0,0.0,870.9,0.9,14.81
E2-throughput,device3,phi3:mini,9,8.6324,8632.36,0,0.0,873.9,1.2,14.81
E2-throughput,device3,phi3:mini,10,12.4157,12415.73,0,0.0,889.7,1.4,14.81
E2-throughput,device3,phi3:mini,11,11.1258,11125.82,0,0.0,878.2,0.9,14.81
E2-throughput,device3,phi3:mini,12,12.1667,12166.73,0,0.0,885.3,0.9,14.81
E2-throughput,device3,phi3:mini,13,9.303,9302.96,0,0.0,875.1,1.0,14.81
E2-throughput,device3,phi3:mini,14,10.8209,10820.9,0,0.0,872.7,0.8,14.81
E2-throughput,device3,phi3:mini,15,9.0067,9006.65,0,0.0,875.0,1.0,14.81
E2-throughput,device3,phi3:mini,16,9.4405,9440.48,0,0.0,876.2,0.9,14.81
